Stimulus,Reaction Time (ms)
triangle,203.76612496329471
apple,209.38050001859665
chair,250.43945800280198
apple,182.33083398081362
apple,231.584541965276
clock,196.77170796785504
clock,184.86687500262633
spider,227.09258401300758
banana,224.13424996193498
spider,205.8367919526063
triangle,207.14745798613876
square,197.5553339580074
star,197.5939580006525
triangle,204.07008298207074
square,226.73049999866635
triangle,211.73862495925277
star,201.81466697249562
snake,210.81399999093264
apple,59.5777909620665
circle,228.09145896462724
square,245.9683750057593
square,210.47391602769494
apple,217.001958983019
triangle,220.72475001914427
square,204.98766604578122
clock,190.3509590192698
apple,227.18387498753145
banana,50.37320900009945
banana,190.59087499044836
chair,227.18041599728167
star,236.60174995893613
triangle,208.5861669620499
snake,206.11395902233198
clock,197.71254196530208
star,223.51083299145103
spider,229.75608299020678
spider,222.26541704731062
square,227.0612080465071
star,243.41170897241682
star,221.89570899354294
apple,213.19891599705443
spider,252.34016601461917
triangle,211.96816698648036
triangle,214.25675001228228
star,206.51720894966274
circle,239.933333999943
triangle,208.33666698308662
star,201.32270804606378
spider,215.00979195116088
square,210.32066602492705
triangle,203.16541596548632
spider,224.02958304155618
chair,241.39912496320903
triangle,212.64908398734406
circle,203.87262501753867
apple,217.24787499988452
chair,219.96554202632979
chair,253.12875001691282
square,188.43712500529364
chair,209.5203340286389
circle,198.0903750518337
snake,209.67762498185039
clock,232.8433750080876
square,223.71845901943743
circle,229.70074997283518
square,212.95629104133695
triangle,255.89037500321865
snake,215.0450000190176
spider,228.75412501161918
banana,231.8081669509411
circle,195.05054195178673
star,214.12645903183147
chair,139.7216669865884
apple,259.43920901045203
chair,214.85091699287295
chair,163.95420901244506
star,199.1603330243379
apple,195.70704200305045
clock,223.18329196423292
chair,221.32845799205825
apple,211.5419580368325
clock,227.67737501999363
circle,196.8848750111647
spider,216.39883401803672
snake,224.0333749796264
clock,202.13645900366828
spider,217.35216700471938
clock,224.57304201088846
snake,212.30104099959135
banana,217.9177920334041
banana,217.78183296555653
clock,195.32387499930337
apple,197.65845802612603
snake,314.9051669752225
circle,249.5854590088129
snake,281.07995801838115
snake,202.584000013303
circle,204.3677920009941
star,206.12845796858892
chair,219.02175003197044
circle,84.54408397665247
star,222.67866600304842
clock,306.6317499615252
banana,254.65054204687476
snake,197.18891696538776
triangle,210.47795901540667
triangle,211.57595899421722
snake,229.5806669862941
apple,201.54475001618266
apple,210.11333400383592
star,102.13404096430168
square,225.47983401454985
snake,200.80129196867347
chair,233.07945899432525
banana,187.04995897132903
snake,88.79737497773021
spider,221.01720800856128
clock,204.6275830361992
banana,227.04683296615258
chair,198.48600000841543
chair,223.89441699488088
square,215.36199998809025
clock,241.2944999523461
clock,221.62254096474499
square,227.5150420027785
apple,190.86729100672528
triangle,212.48733397806063
spider,197.67762505216524
chair,230.32945801969618
circle,240.57608301518485
spider,209.9717499804683
star,201.25433400971815
circle,278.193750011269
banana,230.59024999383837
circle,153.66950002498925
spider,226.24424996320158
circle,219.9045000015758
snake,240.80179102020338
snake,253.9639999740757
circle,234.14270899957046
banana,226.76299995509908
spider,211.66883304249495
banana,214.13229097379372
banana,215.79162502894178
square,241.9895000057295
clock,166.97925003245473
star,219.983333023265
square,112.63399996096268
banana,210.64291702350602
banana,193.1938750203699
