Stimulus,Reaction Time (ms)
clock,257.8308330848813
star,273.3041672036052
chair,243.3992912992835
square,258.53962544351816
circle,287.3812085017562
apple,311.09270732849836
clock,227.615375071764
triangle,322.99837470054626
star,342.15200040489435
banana,373.3605835586786
star,341.29579178988934
circle,346.87549993395805
banana,260.8129158616066
spider,238.28366678208113
banana,370.0639586895704
chair,300.71758292615414
chair,343.8865002244711
chair,363.34458366036415
triangle,288.908458314836
circle,254.2572095990181
triangle,275.0770002603531
banana,375.9302916005254
snake,376.32325012236834
triangle,254.95404191315174
banana,258.30208230763674
star,279.8070842400193
circle,329.07725032418966
chair,222.92858362197876
circle,262.67100032418966
clock,257.5673330575228
banana,233.23499970138073
spider,340.8152498304844
banana,283.2229593768716
spider,280.6269582360983
circle,371.2835842743516
apple,274.1621248424053
star,396.7307498678565
chair,288.1452087312937
triangle,526.8357079476118
apple,487.5561250373721
triangle,341.49429202079773
star,435.60812436044216
chair,429.59462478756905
square,435.7085833325982
clock,338.3082924410701
square,332.63383246958256
triangle,405.40266688913107
star,367.0772919431329
snake,492.034999653697
apple,292.1142503619194
square,258.947292342782
clock,228.78904175013304
banana,272.61237520724535
chair,402.76870876550674
banana,252.26666685193777
spider,242.13362485170364
spider,303.9592495188117
banana,347.89812471717596
square,287.81408350914717
snake,374.8472910374403
apple,355.56887555867434
star,279.1389999911189
clock,273.2962090522051
banana,269.94241680949926
square,268.2636249810457
snake,369.249084033072
clock,327.9817495495081
spider,314.44012466818094
snake,324.8583748936653
circle,273.9573335275054
square,268.8923329114914
circle,329.6922920271754
triangle,269.90158297121525
triangle,312.3824577778578
spider,426.91029142588377
star,268.42166669666767
chair,295.4033324494958
snake,314.81562461704016
triangle,279.27974984049797
square,327.1271660923958
spider,359.1647082939744
triangle,394.3961253389716
circle,263.5861663147807
chair,357.4977507814765
circle,385.53362525999546
banana,502.31424998492
snake,301.66891776025295
triangle,310.4571243748069
snake,327.98629254102707
apple,417.56429243832827
star,292.1182503923774
square,425.4257073625922
triangle,319.3030832335353
chair,363.51741570979357
apple,376.6038753092289
clock,333.8926676660776
apple,286.9905000552535
banana,282.6465405523777
apple,387.4846249818802
apple,402.5255423039198
spider,427.9288752004504
snake,382.7280830591917
spider,330.7511666789651
star,336.6836253553629
circle,293.5490421950817
clock,336.35991625487804
snake,204.58358246833086
chair,380.4211672395468
apple,440.419040620327
clock,278.7505006417632
snake,277.92191598564386
chair,329.57354187965393
clock,498.5814159736037
star,307.10666719824076
apple,329.60262428969145
star,221.753042191267
spider,237.44454141706228
spider,419.99049950391054
clock,389.78691678494215
square,287.94345911592245
square,410.302959382534
snake,393.07479094713926
circle,373.47500026226044
square,354.2226664721966
star,312.2144155204296
spider,299.7617907822132
banana,271.3777497410774
triangle,283.41566678136587
clock,316.62583351135254
chair,262.60395906865597
spider,265.4222920536995
snake,228.66175044327974
clock,471.3523332029581
clock,247.0150412991643
spider,333.058999851346
apple,439.0157079324126
snake,335.9575839713216
chair,347.3199578002095
banana,336.38616744428873
star,419.537958689034
square,473.7437926232815
apple,583.5004579275846
circle,494.46333292871714
apple,909.8073756322265
circle,353.06695755571127
circle,477.846416644752
snake,514.0992505475879
square,383.1474157050252
square,292.37633291631937
triangle,288.8050423935056
