Stimulus,Reaction Time (ms)
snake,405.89229200122645
spider,516.9962079962716
spider,404.8021249982412
triangle,530.2347920005559
snake,448.21650000085356
clock,435.4722919961205
square,527.9814160021488
triangle,353.3162910025567
square,435.9642499985057
chair,382.2645830005058
star,325.3378329973202
snake,427.11804199643666
spider,292.16850000375416
banana,372.4780840057065
circle,326.9390409986954
square,255.488292001246
banana,271.72895800322294
triangle,321.8372920018737
square,406.96591699816054
triangle,379.2237500019837
triangle,326.0273749983753
spider,359.7386670007836
square,279.33379199384945
apple,272.3474999947939
clock,331.56920799956424
spider,309.58258399914484
apple,369.73500000021886
circle,420.91925000568153
snake,386.03595799941104
circle,330.0322090071859
spider,320.36416600021766
banana,274.9712090007961
chair,458.52000000013504
snake,366.93224999908125
apple,336.64512500399724
star,515.3307090004091
triangle,247.3292089998722
chair,375.31787500483915
clock,223.45570899778977
banana,546.4104160055285
spider,477.11449999769684
apple,398.60849999968195
clock,439.265749999322
chair,393.45870899705915
square,315.71224999788683
star,388.90208300290396
square,326.9287080038339
circle,302.20783300319454
chair,566.2866249986109
snake,384.31520800077124
chair,407.8862919996027
star,387.7435410031467
star,494.89633399934974
apple,362.80770799930906
snake,328.8639169986709
apple,360.2587919958751
chair,299.43254200043157
snake,391.3822500035167
clock,275.4061250016093
triangle,358.4140419989126
banana,369.8995000013383
clock,407.0389170010458
square,297.59433399885893
banana,418.166375005967
spider,421.9743749999907
clock,374.1948750030133
star,283.58758299873443
banana,320.8769589982694
spider,246.4297499973327
snake,427.3570840014145
triangle,266.63795900094556
chair,305.181249997986
star,330.63616700383136
triangle,328.5214999996242
banana,337.64616699772887
chair,331.9686670001829
star,361.3286249965313
banana,332.5631670013536
circle,308.01837499893736
snake,288.10770800191676
snake,304.9650829998427
snake,285.53687499515945
triangle,346.4481249975506
circle,327.73445900238585
triangle,321.40954100032104
spider,308.9688339969143
star,426.4652499987278
star,283.8902080038679
banana,317.71995900635375
circle,340.4174579991377
clock,516.9968339978368
circle,326.93133399880026
square,269.30179199553095
star,399.4658750016242
clock,328.7244169987389
star,309.4740000015008
apple,315.01066599594196
square,329.0544579940615
chair,378.87295900145546
apple,327.23170799727086
circle,302.4674580010469
square,437.7502920033294
apple,318.78845900064334
triangle,357.3241250051069
spider,359.1822089947527
banana,334.1135000009672
clock,343.8082499997108
square,324.14566700026626
snake,322.80695800000103
spider,342.2228749986971
triangle,362.9822079965379
apple,527.7674590033712
clock,386.60941700072726
spider,355.5716249975376
banana,391.1783329967875
banana,322.597708000103
triangle,486.33579200395616
circle,316.1416669972823
clock,271.2121250006021
chair,313.1396249955287
banana,623.2501249978668
apple,282.1618749949266
snake,343.2454170033452
square,292.51270899840165
chair,281.13541600032477
clock,316.8249999944237
circle,352.128584003367
clock,284.1975420014933
chair,284.14799999882234
banana,270.9377499995753
square,309.2019160030759
triangle,259.6851669950411
spider,294.4037080014823
spider,344.9580829983461
star,384.5884160036803
chair,324.46241700381506
circle,394.3576249948819
apple,303.00537499715574
clock,275.9700829992653
circle,402.49825000501005
apple,297.44495899649337
apple,314.87933300377335
star,315.24116700165905
star,417.58800000388874
circle,457.2125840059016
square,333.23887499864213
circle,273.4122080000816
chair,311.0651669994695
apple,336.29691600071965
snake,363.11187500541564
