Stimulus,Reaction Time (ms)
clock,259.3954580370337
banana,275.71962506044656
spider,278.8037919672206
star,224.14883400779217
clock,223.10720896348357
star,369.42458304110914
circle,225.4909579642117
star,268.590624909848
snake,389.8630830226466
clock,380.8922501048073
triangle,367.1699999831617
spider,295.9522500168532
spider,286.8499589385465
square,429.12841693032533
banana,252.57029093336314
square,253.21154203265905
spider,358.42462501022965
chair,287.6904170261696
square,257.3048749472946
circle,218.15099997911602
banana,282.7783329412341
square,233.49316604435444
chair,274.6059170458466
triangle,284.37887493055314
clock,332.7030000509694
banana,384.46712493896484
clock,370.70491595659405
square,275.7332919863984
chair,306.43320898525417
star,237.50720801763237
apple,260.83829207345843
star,293.1559580611065
apple,347.52683294937015
snake,313.84737498592585
chair,278.130125021562
circle,223.32637489307672
square,333.81308300886303
banana,348.39704202022403
apple,277.4902079254389
snake,329.43437492940575
square,312.39358300808817
square,240.3035000897944
spider,312.19050008803606
clock,239.93799998424947
circle,231.6623340593651
banana,330.48004109878093
clock,303.27062495052814
spider,278.496416984126
banana,265.8119999105111
square,230.14583392068744
banana,215.18175001256168
circle,214.3729169620201
clock,273.42758304439485
spider,333.1922920187935
apple,232.0380830205977
triangle,357.22633299883455
clock,266.31500001531094
snake,321.34929206222296
spider,254.52808302361518
spider,238.87295799795538
triangle,310.48025004565716
apple,349.13200000301003
snake,369.65170793700963
snake,242.6660000346601
square,350.6722499150783
spider,281.1705000931397
triangle,261.1044580116868
banana,232.57849994115531
triangle,474.4217499392107
triangle,435.2030410664156
banana,322.18758400995284
star,286.2425419734791
triangle,306.47933308500797
chair,284.9292909959331
apple,289.82237505260855
snake,451.53908408246934
snake,277.0486659137532
spider,332.5734999962151
circle,311.7453750455752
square,366.5369590744376
triangle,343.8496249727905
banana,315.60837500728667
circle,256.5368750365451
banana,237.41445899941027
snake,254.11404203623533
clock,255.13666693586856
chair,382.52620899584144
star,274.6911250287667
circle,229.719249997288
star,348.57554209884256
star,356.5872920444235
chair,303.3309589372948
snake,290.9022909589112
banana,294.68162497505546
circle,286.8974580196664
circle,255.89999998919666
apple,245.79041707329452
spider,270.20549995359033
apple,255.2232500165701
apple,222.60041697882116
apple,256.3064999412745
apple,252.40649993065745
star,268.7013749964535
clock,255.28079108335078
square,287.39504097029567
triangle,395.27675008866936
chair,218.19904202129692
snake,269.16725002229214
circle,253.41291702352464
apple,286.2914160359651
chair,249.37691597733647
apple,258.54754098691046
chair,290.1398749090731
star,267.4284999957308
circle,364.8163329344243
snake,412.8187500173226
clock,321.6641249600798
circle,250.69883302785456
clock,371.76762497983873
star,293.4658749727532
circle,290.53250001743436
spider,255.55283308494836
square,254.52575006056577
clock,223.8088750746101
apple,299.7004579519853
chair,259.88029199652374
triangle,370.9122500149533
apple,265.5375830363482
banana,277.72033296059817
snake,255.21541701164097
spider,270.71279194206
banana,243.04066598415375
snake,287.11891698185354
star,274.7184169711545
chair,234.37666706740856
spider,295.990249956958
snake,280.5386669933796
triangle,272.6407910231501
square,269.0628340933472
triangle,283.0360830994323
triangle,254.5109170023352
star,280.0942499889061
square,241.00399995222688
star,282.35629200935364
circle,253.6145830526948
triangle,278.14537496306
clock,238.603875041008
chair,266.57670794520527
chair,274.02804198209196
chair,252.0511249313131
