DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
1135,50,snake,apple,deg15,deg-15,Right,False
814,50,spider,apple,deg-15,deg15,Left,False
540,100,banana,snake,deg-15,deg15,Left,False
888,25,apple,snake,deg15,deg-15,Left,True
554,100,snake,apple,deg-15,deg15,Left,False
885,50,banana,spider,deg-15,deg15,Left,False
1132,50,banana,spider,deg15,deg-15,Right,False
1452,0,banana,spider,deg15,deg-15,Right,True
1173,100,banana,snake,deg15,deg-15,Right,False
827,50,apple,snake,deg-15,deg15,Left,False
610,100,banana,spider,deg15,deg-15,Right,False
845,25,snake,banana,deg15,deg-15,Right,False
901,100,banana,snake,deg-15,deg15,Left,False
1177,50,apple,spider,deg-15,deg15,Left,False
1207,50,apple,spider,deg-15,deg15,Right,True
1033,25,snake,apple,deg15,deg-15,Right,False
786,0,apple,snake,deg15,deg-15,Left,True
1916,100,apple,spider,deg-15,deg15,Left,False
1351,50,apple,spider,deg-15,deg15,Left,False
638,50,spider,banana,deg15,deg-15,Right,False
944,50,apple,snake,deg15,deg-15,Right,False
1032,25,snake,banana,deg15,deg-15,Right,False
726,50,snake,apple,deg15,deg-15,Right,False
844,25,apple,spider,deg-15,deg15,Right,True
887,50,snake,apple,deg-15,deg15,Left,False
1438,25,snake,banana,deg15,deg-15,Right,False
2499,50,banana,spider,deg15,deg-15,Left,True
1046,25,banana,spider,deg15,deg-15,Left,True
1089,25,spider,apple,deg15,deg-15,Right,False
1931,25,apple,spider,deg-15,deg15,Right,True
741,100,banana,spider,deg15,deg-15,Right,False
1483,25,banana,spider,deg-15,deg15,Left,False
1813,100,spider,apple,deg15,deg-15,Right,False
974,0,snake,apple,deg-15,deg15,Left,True
781,100,spider,banana,deg15,deg-15,Right,False
2430,100,banana,snake,deg-15,deg15,Left,False
767,100,apple,spider,deg-15,deg15,Right,True
2090,50,spider,apple,deg-15,deg15,Left,False
1133,25,spider,banana,deg15,deg-15,Right,False
1150,0,apple,spider,deg-15,deg15,Right,True
668,0,spider,apple,deg-15,deg15,Left,True
623,100,snake,apple,deg-15,deg15,Left,False
636,100,spider,apple,deg15,deg-15,Right,False
945,50,banana,snake,deg15,deg-15,Left,True
1280,100,banana,snake,deg-15,deg15,Left,False
770,0,snake,apple,deg15,deg-15,Right,True
976,25,snake,apple,deg-15,deg15,Right,True
755,100,snake,banana,deg15,deg-15,Right,False
643,100,snake,banana,deg15,deg-15,Right,False
973,50,banana,snake,deg-15,deg15,Right,True
1107,25,apple,spider,deg-15,deg15,Left,False
2615,25,banana,snake,deg15,deg-15,Left,True
768,100,apple,spider,deg15,deg-15,Right,False
870,100,snake,banana,deg-15,deg15,Left,False
1873,50,banana,snake,deg15,deg-15,Right,False
682,25,snake,banana,deg15,deg-15,Right,False
1611,25,snake,banana,deg15,deg-15,Left,True
738,0,spider,banana,deg15,deg-15,Right,True
695,50,snake,banana,deg15,deg-15,Right,False
1161,0,banana,snake,deg15,deg-15,Right,True
1179,50,snake,apple,deg15,deg-15,Left,True
811,100,apple,spider,deg15,deg-15,Right,False
757,50,banana,snake,deg-15,deg15,Left,False
1111,25,apple,snake,deg15,deg-15,Left,True
668,25,apple,spider,deg15,deg-15,Left,True
697,100,apple,snake,deg-15,deg15,Left,False
683,50,spider,banana,deg15,deg-15,Right,False
584,100,snake,apple,deg-15,deg15,Left,False
1107,25,snake,banana,deg15,deg-15,Left,True
697,25,apple,snake,deg15,deg-15,Left,True
1205,0,apple,spider,deg-15,deg15,Right,True
798,25,snake,apple,deg15,deg-15,Right,False
913,0,apple,spider,deg15,deg-15,Left,True
624,100,snake,banana,deg15,deg-15,Right,False
1031,25,apple,snake,deg-15,deg15,Right,True
1510,25,spider,apple,deg-15,deg15,Left,False
1872,25,banana,snake,deg-15,deg15,Right,True
2641,0,spider,banana,deg15,deg-15,Right,True
1061,25,spider,apple,deg-15,deg15,Left,False
2506,50,spider,banana,deg-15,deg15,Left,False
611,100,spider,banana,deg15,deg-15,Right,False
799,0,banana,snake,deg15,deg-15,Left,True
1259,25,spider,apple,deg15,deg-15,Left,True
1843,25,snake,banana,deg15,deg-15,Right,False
1745,0,snake,apple,deg15,deg-15,Right,True
808,50,snake,banana,deg15,deg-15,Right,False
1651,0,spider,apple,deg15,deg-15,Right,True
1493,50,spider,banana,deg-15,deg15,Left,False
1449,50,snake,banana,deg15,deg-15,Right,False
1072,25,banana,snake,deg15,deg-15,Right,False
2381,0,spider,apple,deg15,deg-15,Left,True
969,100,banana,snake,deg15,deg-15,Right,False
2032,25,snake,banana,deg15,deg-15,Left,True
2146,50,spider,apple,deg-15,deg15,Left,False
2958,100,snake,banana,deg15,deg-15,Right,False
3867,0,spider,banana,deg15,deg-15,Left,True
988,100,apple,spider,deg-15,deg15,Left,False
1696,0,banana,spider,deg15,deg-15,Left,True
1827,100,banana,snake,deg-15,deg15,Right,True
2783,100,banana,spider,deg15,deg-15,Left,True
712,50,snake,banana,deg15,deg-15,Right,False
726,100,snake,banana,deg-15,deg15,Left,False
693,100,banana,spider,deg-15,deg15,Left,False
855,25,spider,banana,deg-15,deg15,Left,False
680,25,spider,banana,deg15,deg-15,Right,False
609,100,snake,banana,deg-15,deg15,Left,False
611,25,banana,snake,deg15,deg-15,Left,True
927,50,spider,apple,deg15,deg-15,Left,True
681,25,banana,snake,deg-15,deg15,Right,True
682,100,banana,snake,deg-15,deg15,Left,False
593,100,spider,apple,deg15,deg-15,Right,False
1117,25,snake,banana,deg15,deg-15,Right,False
3752,50,banana,spider,deg-15,deg15,Right,True
2984,25,spider,banana,deg15,deg-15,Left,True
1796,25,spider,banana,deg-15,deg15,Left,False
1143,100,spider,banana,deg15,deg-15,Right,False
1046,50,apple,spider,deg-15,deg15,Left,False
1211,0,apple,snake,deg15,deg-15,Left,True
1230,25,spider,banana,deg15,deg-15,Right,False
1145,25,spider,banana,deg-15,deg15,Left,False
1056,0,banana,snake,deg15,deg-15,Left,True
783,100,snake,banana,deg-15,deg15,Left,False
1229,25,snake,banana,deg15,deg-15,Right,False
1221,50,banana,snake,deg-15,deg15,Left,False
899,25,banana,spider,deg-15,deg15,Right,True
1894,100,apple,spider,deg-15,deg15,Left,False
1043,50,apple,snake,deg-15,deg15,Right,True
1404,50,banana,spider,deg15,deg-15,Left,True
652,100,spider,apple,deg15,deg-15,Right,False
984,50,spider,apple,deg15,deg-15,Right,False
