DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
2472,50,banana,snake,deg-15,deg15,Right,False
622,100,banana,spider,deg15,deg-15,Right,True
708,50,snake,banana,deg15,deg-15,Right,True
677,0,apple,spider,deg15,deg-15,Right,True
639,25,snake,apple,deg15,deg-15,Right,True
1085,100,apple,snake,deg-15,deg15,Left,True
984,100,snake,banana,deg-15,deg15,Left,True
808,50,spider,apple,deg15,deg-15,Right,True
810,100,apple,spider,deg15,deg-15,Right,True
726,100,banana,snake,deg15,deg-15,Right,True
583,100,snake,apple,deg-15,deg15,Left,True
608,25,snake,apple,deg-15,deg15,Left,True
679,50,banana,snake,deg-15,deg15,Left,True
608,50,spider,banana,deg-15,deg15,Left,True
779,25,snake,banana,deg15,deg-15,Right,True
894,50,apple,snake,deg-15,deg15,Right,False
1371,50,banana,spider,deg-15,deg15,Left,True
1023,100,snake,apple,deg15,deg-15,Right,True
967,25,apple,spider,deg-15,deg15,Right,False
1665,0,banana,spider,deg-15,deg15,Left,True
813,0,snake,apple,deg15,deg-15,Right,True
723,25,snake,apple,deg15,deg-15,Right,True
768,0,apple,snake,deg-15,deg15,Right,True
723,50,apple,spider,deg-15,deg15,Right,False
912,25,snake,apple,deg15,deg-15,Right,True
1026,100,spider,banana,deg-15,deg15,Left,True
1485,25,apple,snake,deg-15,deg15,Left,True
707,25,spider,apple,deg-15,deg15,Left,True
2291,100,snake,apple,deg-15,deg15,Left,True
1444,25,spider,banana,deg-15,deg15,Left,True
1487,25,apple,snake,deg15,deg-15,Right,True
1388,100,apple,snake,deg15,deg-15,Right,True
795,25,banana,spider,deg15,deg-15,Right,True
941,0,spider,banana,deg15,deg-15,Left,True
1188,100,snake,banana,deg15,deg-15,Right,True
767,50,spider,banana,deg15,deg-15,Right,True
553,50,spider,banana,deg15,deg-15,Right,True
652,25,snake,apple,deg-15,deg15,Right,False
653,50,banana,snake,deg-15,deg15,Right,False
1589,25,snake,banana,deg15,deg-15,Left,False
1735,50,apple,spider,deg15,deg-15,Right,True
998,0,apple,spider,deg-15,deg15,Right,True
925,25,apple,snake,deg-15,deg15,Right,False
621,100,snake,banana,deg15,deg-15,Right,True
739,25,apple,snake,deg-15,deg15,Right,False
651,50,snake,apple,deg15,deg-15,Right,True
926,25,apple,snake,deg-15,deg15,Right,False
782,100,banana,spider,deg15,deg-15,Right,True
1228,100,spider,apple,deg-15,deg15,Left,True
723,25,snake,apple,deg-15,deg15,Right,False
650,25,spider,apple,deg15,deg-15,Right,True
836,100,spider,apple,deg-15,deg15,Right,False
1287,50,spider,apple,deg-15,deg15,Right,False
1344,25,spider,apple,deg15,deg-15,Right,True
998,100,apple,spider,deg-15,deg15,Left,True
1546,25,spider,banana,deg-15,deg15,Left,True
2383,25,spider,apple,deg15,deg-15,Right,True
1086,100,spider,apple,deg-15,deg15,Left,True
867,100,apple,snake,deg15,deg-15,Right,True
898,25,apple,spider,deg-15,deg15,Left,True
580,100,spider,banana,deg15,deg-15,Right,True
1400,50,spider,apple,deg-15,deg15,Right,False
925,0,apple,snake,deg-15,deg15,Right,True
783,100,banana,snake,deg15,deg-15,Right,True
620,50,spider,apple,deg15,deg-15,Right,True
677,50,banana,snake,deg-15,deg15,Left,True
724,25,snake,apple,deg-15,deg15,Right,False
647,0,spider,apple,deg-15,deg15,Right,True
737,25,spider,apple,deg-15,deg15,Right,False
593,100,snake,apple,deg15,deg-15,Right,True
694,25,banana,spider,deg-15,deg15,Right,False
767,50,spider,apple,deg15,deg-15,Right,True
1314,25,banana,spider,deg-15,deg15,Right,False
722,50,snake,apple,deg15,deg-15,Right,True
708,25,spider,banana,deg15,deg-15,Right,True
695,25,snake,apple,deg-15,deg15,Right,False
619,100,spider,banana,deg-15,deg15,Left,True
2311,25,snake,banana,deg15,deg-15,Right,True
594,50,banana,snake,deg15,deg-15,Right,True
595,25,apple,spider,deg-15,deg15,Right,False
1474,50,spider,banana,deg15,deg-15,Right,True
1531,25,snake,banana,deg15,deg-15,Right,True
2094,100,apple,spider,deg-15,deg15,Left,True
852,25,spider,apple,deg-15,deg15,Right,False
822,100,apple,spider,deg15,deg-15,Right,True
940,25,spider,apple,deg15,deg-15,Right,True
1258,25,spider,banana,deg-15,deg15,Left,True
3353,0,apple,snake,deg-15,deg15,Right,True
928,50,snake,apple,deg15,deg-15,Right,True
607,25,spider,banana,deg-15,deg15,Left,True
1109,0,banana,spider,deg-15,deg15,Left,True
1748,25,spider,apple,deg-15,deg15,Left,True
2846,25,banana,spider,deg-15,deg15,Right,False
667,100,snake,banana,deg-15,deg15,Left,True
651,100,spider,banana,deg15,deg-15,Right,True
1418,25,banana,snake,deg-15,deg15,Left,True
1288,25,snake,banana,deg-15,deg15,Right,False
808,100,apple,spider,deg15,deg-15,Right,True
2617,25,snake,banana,deg15,deg-15,Left,False
825,25,banana,snake,deg15,deg-15,Right,True
1243,50,snake,apple,deg15,deg-15,Left,False
1182,100,spider,apple,deg15,deg-15,Right,True
1559,50,spider,apple,deg-15,deg15,Left,True
986,0,banana,spider,deg-15,deg15,Right,True
809,50,apple,spider,deg-15,deg15,Right,False
1040,50,apple,snake,deg-15,deg15,Left,True
1142,25,snake,apple,deg-15,deg15,Right,False
639,50,apple,snake,deg15,deg-15,Right,True
750,0,snake,banana,deg15,deg-15,Left,True
694,25,apple,snake,deg15,deg-15,Right,True
723,25,snake,apple,deg15,deg-15,Left,False
1360,0,snake,apple,deg15,deg-15,Left,True
1011,25,banana,spider,deg15,deg-15,Right,True
870,100,banana,spider,deg-15,deg15,Left,True
771,100,banana,snake,deg15,deg-15,Right,True
678,50,spider,apple,deg15,deg-15,Left,False
1056,100,banana,spider,deg-15,deg15,Right,False
678,25,banana,spider,deg-15,deg15,Left,True
666,100,apple,spider,deg15,deg-15,Right,True
972,25,spider,banana,deg15,deg-15,Left,False
1489,25,apple,spider,deg-15,deg15,Right,False
1906,25,snake,apple,deg15,deg-15,Right,True
1026,25,spider,banana,deg-15,deg15,Left,True
954,0,banana,spider,deg-15,deg15,Right,True
1082,50,snake,apple,deg15,deg-15,Right,True
981,100,snake,apple,deg-15,deg15,Left,True
562,50,snake,apple,deg15,deg-15,Right,True
736,50,spider,apple,deg-15,deg15,Left,True
1141,50,banana,spider,deg15,deg-15,Right,True
727,50,banana,spider,deg-15,deg15,Left,True
2383,0,banana,snake,deg15,deg-15,Right,True
824,50,banana,snake,deg-15,deg15,Left,True
924,50,spider,banana,deg-15,deg15,Left,True
852,25,snake,banana,deg-15,deg15,Left,True
793,50,spider,apple,deg-15,deg15,Right,False
