DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
1236,25,spider,apple,deg15,deg-15,Left,False
769,100,snake,banana,deg15,deg-15,Right,True
531,50,spider,apple,deg-15,deg15,Left,True
1072,50,banana,spider,deg15,deg-15,Right,True
583,25,banana,snake,deg-15,deg15,Left,True
656,100,snake,banana,deg-15,deg15,Left,True
961,0,apple,snake,deg-15,deg15,Right,True
622,100,spider,banana,deg-15,deg15,Left,True
490,100,snake,apple,deg15,deg-15,Right,True
346,50,snake,banana,deg-15,deg15,Left,True
491,50,banana,snake,deg-15,deg15,Left,True
964,25,snake,apple,deg-15,deg15,Left,True
2164,25,apple,snake,deg15,deg-15,Left,False
2457,0,banana,snake,deg15,deg-15,Right,True
670,25,banana,snake,deg-15,deg15,Right,False
673,0,apple,snake,deg-15,deg15,Left,True
1237,25,apple,snake,deg-15,deg15,Right,False
656,100,apple,spider,deg-15,deg15,Left,True
691,0,apple,snake,deg-15,deg15,Left,True
890,25,banana,snake,deg-15,deg15,Left,True
1760,25,banana,spider,deg15,deg-15,Left,False
1125,25,spider,banana,deg-15,deg15,Left,True
748,25,snake,apple,deg15,deg-15,Right,True
583,25,spider,apple,deg-15,deg15,Left,True
1074,0,snake,banana,deg-15,deg15,Left,True
2198,50,banana,snake,deg15,deg-15,Left,False
510,100,apple,spider,deg-15,deg15,Left,True
1146,0,apple,snake,deg15,deg-15,Left,True
2053,25,snake,apple,deg15,deg-15,Right,True
1910,50,banana,snake,deg15,deg-15,Left,False
635,100,apple,snake,deg-15,deg15,Left,True
601,100,banana,spider,deg15,deg-15,Right,True
729,25,spider,banana,deg15,deg-15,Right,True
566,100,apple,snake,deg-15,deg15,Left,True
2144,25,apple,snake,deg15,deg-15,Left,False
766,25,snake,banana,deg-15,deg15,Left,True
801,50,spider,banana,deg15,deg-15,Right,True
1274,0,banana,spider,deg15,deg-15,Left,True
893,50,banana,spider,deg-15,deg15,Left,True
564,100,banana,spider,deg15,deg-15,Right,True
2112,0,spider,banana,deg15,deg-15,Right,True
711,50,snake,banana,deg-15,deg15,Left,True
802,0,apple,spider,deg15,deg-15,Left,True
584,50,apple,snake,deg-15,deg15,Left,True
621,100,apple,snake,deg-15,deg15,Left,True
1289,0,snake,banana,deg-15,deg15,Left,True
621,25,banana,spider,deg-15,deg15,Left,True
655,100,snake,banana,deg15,deg-15,Right,True
2633,25,spider,banana,deg-15,deg15,Left,True
690,100,snake,apple,deg15,deg-15,Right,True
617,100,spider,apple,deg-15,deg15,Left,True
1185,0,snake,apple,deg15,deg-15,Right,True
855,100,banana,snake,deg15,deg-15,Right,True
998,50,apple,spider,deg15,deg-15,Right,True
2016,50,apple,snake,deg-15,deg15,Left,True
979,0,apple,snake,deg-15,deg15,Right,True
636,100,banana,snake,deg-15,deg15,Left,True
1288,100,apple,spider,deg15,deg-15,Right,True
889,25,snake,apple,deg-15,deg15,Left,True
746,25,snake,apple,deg-15,deg15,Left,True
2490,0,apple,snake,deg-15,deg15,Left,True
545,50,banana,spider,deg15,deg-15,Right,True
4790,100,apple,spider,deg-15,deg15,Left,True
651,0,banana,snake,deg-15,deg15,Right,True
726,25,banana,snake,deg15,deg-15,Left,False
547,100,snake,apple,deg15,deg-15,Right,True
546,50,snake,banana,deg15,deg-15,Right,True
1252,50,snake,banana,deg-15,deg15,Left,True
732,100,apple,snake,deg15,deg-15,Right,True
562,0,banana,spider,deg-15,deg15,Right,True
946,25,spider,apple,deg-15,deg15,Right,False
601,50,apple,snake,deg15,deg-15,Right,True
1727,25,apple,spider,deg-15,deg15,Right,False
1037,50,spider,apple,deg-15,deg15,Right,False
675,50,spider,banana,deg15,deg-15,Right,True
638,0,spider,apple,deg-15,deg15,Left,True
568,25,spider,apple,deg15,deg-15,Right,True
674,100,apple,snake,deg15,deg-15,Right,True
1350,50,spider,banana,deg-15,deg15,Left,True
733,100,apple,spider,deg15,deg-15,Right,True
567,100,banana,spider,deg-15,deg15,Left,True
530,25,snake,banana,deg15,deg-15,Right,True
567,100,spider,apple,deg15,deg-15,Right,True
546,100,banana,spider,deg15,deg-15,Right,True
1401,25,apple,spider,deg15,deg-15,Right,True
983,25,snake,banana,deg-15,deg15,Left,True
601,100,apple,spider,deg-15,deg15,Left,True
618,25,banana,spider,deg-15,deg15,Right,False
545,0,snake,apple,deg-15,deg15,Left,True
1548,25,apple,snake,deg-15,deg15,Left,True
506,100,spider,apple,deg-15,deg15,Left,True
712,50,banana,snake,deg15,deg-15,Left,False
545,0,snake,banana,deg15,deg-15,Right,True
676,100,spider,banana,deg-15,deg15,Left,True
966,100,apple,snake,deg-15,deg15,Left,True
636,0,apple,snake,deg15,deg-15,Left,True
585,50,apple,spider,deg-15,deg15,Left,True
947,50,spider,apple,deg15,deg-15,Right,True
1224,50,banana,spider,deg15,deg-15,Left,False
674,25,banana,spider,deg15,deg-15,Left,False
545,0,banana,spider,deg15,deg-15,Left,True
2202,0,spider,banana,deg15,deg-15,Left,True
601,50,snake,apple,deg-15,deg15,Left,True
2146,25,banana,snake,deg15,deg-15,Right,True
1110,50,banana,snake,deg15,deg-15,Right,True
818,25,spider,apple,deg-15,deg15,Left,True
528,100,spider,banana,deg15,deg-15,Right,True
511,100,spider,banana,deg-15,deg15,Left,True
635,50,spider,apple,deg15,deg-15,Right,True
1439,25,apple,snake,deg15,deg-15,Left,False
621,100,spider,banana,deg-15,deg15,Left,True
691,25,spider,apple,deg15,deg-15,Right,True
781,0,apple,snake,deg15,deg-15,Left,True
3405,0,spider,apple,deg-15,deg15,Left,True
764,100,snake,banana,deg-15,deg15,Left,True
654,25,banana,spider,deg-15,deg15,Right,False
1035,0,apple,snake,deg-15,deg15,Right,True
694,100,apple,spider,deg-15,deg15,Left,True
966,50,snake,apple,deg-15,deg15,Left,True
531,50,spider,banana,deg-15,deg15,Left,True
602,100,banana,snake,deg-15,deg15,Left,True
581,0,snake,apple,deg15,deg-15,Right,True
529,25,snake,apple,deg15,deg-15,Right,True
983,100,apple,spider,deg-15,deg15,Left,True
673,50,snake,banana,deg-15,deg15,Left,True
476,25,snake,banana,deg-15,deg15,Left,True
492,50,apple,snake,deg15,deg-15,Left,False
765,50,apple,snake,deg15,deg-15,Right,True
987,25,apple,snake,deg-15,deg15,Right,False
546,100,snake,banana,deg15,deg-15,Right,True
580,25,banana,snake,deg-15,deg15,Right,False
1364,0,banana,snake,deg15,deg-15,Right,True
774,50,snake,banana,deg15,deg-15,Right,True
549,50,spider,banana,deg15,deg-15,Right,True
549,100,apple,spider,deg-15,deg15,Left,True
580,50,spider,banana,deg15,deg-15,Right,True
1016,50,apple,spider,deg15,deg-15,Right,True
890,0,spider,apple,deg-15,deg15,Right,True
1236,50,apple,snake,deg15,deg-15,Left,False
873,0,spider,banana,deg-15,deg15,Right,True
600,25,spider,apple,deg-15,deg15,Left,True
598,25,snake,banana,deg-15,deg15,Left,True
602,25,snake,apple,deg15,deg-15,Right,True
562,0,spider,banana,deg15,deg-15,Right,True
767,50,snake,apple,deg-15,deg15,Left,True
674,50,apple,snake,deg15,deg-15,Left,False
892,25,snake,banana,deg15,deg-15,Right,True
872,25,snake,apple,deg-15,deg15,Left,True
690,25,apple,snake,deg15,deg-15,Left,False
911,50,snake,banana,deg15,deg-15,Right,True
732,25,spider,apple,deg15,deg-15,Right,True
600,100,banana,spider,deg-15,deg15,Left,True
