DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
957,25,banana,snake,deg-15,deg15,Left,True
566,50,apple,snake,deg-15,deg15,Left,True
696,0,spider,apple,deg-15,deg15,Right,True
483,100,snake,banana,deg15,deg-15,Right,True
665,50,apple,spider,deg15,deg-15,Right,True
577,25,banana,spider,deg-15,deg15,Left,True
753,25,apple,spider,deg15,deg-15,Right,True
1468,100,banana,spider,deg15,deg-15,Right,True
849,100,snake,apple,deg15,deg-15,Right,True
654,25,apple,snake,deg15,deg-15,Right,True
620,50,snake,banana,deg-15,deg15,Left,True
462,50,snake,banana,deg15,deg-15,Right,True
692,50,spider,banana,deg15,deg-15,Left,False
1137,25,spider,banana,deg15,deg-15,Left,False
604,0,apple,spider,deg-15,deg15,Left,True
518,25,spider,apple,deg15,deg-15,Left,False
520,0,apple,snake,deg15,deg-15,Left,True
1354,50,snake,apple,deg-15,deg15,Left,True
646,50,snake,banana,deg-15,deg15,Left,True
488,25,snake,apple,deg-15,deg15,Left,True
623,0,spider,apple,deg-15,deg15,Right,True
532,0,apple,snake,deg15,deg-15,Left,True
1613,25,snake,banana,deg-15,deg15,Right,False
1539,100,snake,apple,deg-15,deg15,Left,True
849,25,snake,banana,deg-15,deg15,Left,True
1770,100,apple,spider,deg15,deg-15,Right,True
1269,50,banana,snake,deg15,deg-15,Right,True
720,50,apple,spider,deg-15,deg15,Left,True
1021,50,apple,snake,deg15,deg-15,Right,True
491,50,apple,spider,deg-15,deg15,Left,True
590,25,spider,apple,deg-15,deg15,Right,False
663,100,banana,spider,deg-15,deg15,Left,True
576,100,snake,banana,deg15,deg-15,Right,True
533,100,spider,apple,deg-15,deg15,Left,True
838,25,apple,spider,deg15,deg-15,Left,False
579,50,banana,spider,deg-15,deg15,Left,True
734,25,banana,snake,deg15,deg-15,Right,True
504,25,apple,spider,deg15,deg-15,Left,False
2076,25,snake,banana,deg-15,deg15,Right,False
970,25,banana,snake,deg15,deg-15,Right,True
1427,100,snake,apple,deg-15,deg15,Left,True
620,100,spider,banana,deg-15,deg15,Left,True
894,0,apple,spider,deg-15,deg15,Left,True
924,0,snake,banana,deg-15,deg15,Right,True
1181,25,spider,apple,deg15,deg-15,Right,True
1223,100,spider,apple,deg-15,deg15,Left,True
936,50,snake,apple,deg15,deg-15,Left,False
681,50,apple,snake,deg-15,deg15,Left,True
564,100,spider,banana,deg-15,deg15,Left,True
1859,100,spider,banana,deg15,deg-15,Left,False
505,25,banana,spider,deg15,deg-15,Left,False
791,25,banana,spider,deg15,deg-15,Left,False
1644,0,apple,spider,deg15,deg-15,Left,True
1138,50,snake,banana,deg15,deg-15,Right,True
1135,100,banana,spider,deg15,deg-15,Right,True
710,25,apple,spider,deg15,deg-15,Left,False
1949,50,spider,apple,deg15,deg-15,Right,True
868,25,snake,apple,deg15,deg-15,Right,True
1736,50,spider,apple,deg-15,deg15,Left,True
957,100,banana,spider,deg15,deg-15,Right,True
642,50,banana,spider,deg-15,deg15,Left,True
895,25,banana,snake,deg-15,deg15,Right,False
640,0,banana,spider,deg15,deg-15,Left,True
683,25,apple,snake,deg-15,deg15,Right,False
1084,25,banana,spider,deg-15,deg15,Left,True
968,100,snake,banana,deg15,deg-15,Right,True
555,0,banana,snake,deg15,deg-15,Left,True
981,0,apple,spider,deg-15,deg15,Left,True
570,0,spider,banana,deg-15,deg15,Left,True
711,25,spider,apple,deg15,deg-15,Left,False
