DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
1008,0,snake,banana,deg-15,deg15,G,True
989,0,snake,apple,deg-15,deg15,G,True
1034,50,snake,apple,deg15,deg-15,H,False
1989,0,banana,spider,deg15,deg-15,G,True
1842,25,spider,apple,deg15,deg-15,G,True
1633,0,snake,apple,deg-15,deg15,G,True
1813,25,banana,spider,deg15,deg-15,G,False
1673,50,spider,apple,deg-15,deg15,G,True
2281,50,snake,apple,deg-15,deg15,G,True
1350,0,snake,banana,deg15,deg-15,H,True
2238,25,snake,banana,deg-15,deg15,G,True
1246,100,spider,banana,deg-15,deg15,H,False
1320,100,spider,banana,deg-15,deg15,G,True
1781,0,spider,banana,deg-15,deg15,G,True
1642,50,snake,banana,deg15,deg-15,H,False
1676,50,spider,banana,deg-15,deg15,H,False
1463,0,spider,banana,deg-15,deg15,G,True
1216,25,apple,snake,deg-15,deg15,H,True
1146,50,apple,spider,deg-15,deg15,H,True
2896,25,spider,apple,deg15,deg-15,H,False
2710,0,banana,spider,deg15,deg-15,G,True
2175,100,banana,spider,deg15,deg-15,G,False
4834,0,apple,spider,deg-15,deg15,G,True
1310,0,banana,spider,deg-15,deg15,H,True
1208,50,spider,banana,deg-15,deg15,H,False
1245,25,banana,snake,deg15,deg-15,G,False
2161,0,banana,spider,deg15,deg-15,G,True
830,0,spider,banana,deg-15,deg15,G,True
2097,0,banana,spider,deg15,deg-15,G,True
1458,50,spider,banana,deg15,deg-15,H,False
2105,100,banana,spider,deg-15,deg15,H,True
993,25,apple,snake,deg-15,deg15,H,True
2492,50,snake,banana,deg15,deg-15,G,True
1676,50,banana,snake,deg-15,deg15,G,False
2885,100,apple,snake,deg-15,deg15,H,True
2423,25,snake,banana,deg-15,deg15,G,True
1533,100,spider,apple,deg15,deg-15,G,True
1355,50,apple,snake,deg-15,deg15,H,True
2669,50,banana,snake,deg15,deg-15,H,True
1532,25,banana,snake,deg-15,deg15,G,False
1459,25,apple,spider,deg-15,deg15,H,True
1889,25,banana,snake,deg15,deg-15,H,True
822,100,apple,snake,deg-15,deg15,H,True
890,100,snake,apple,deg15,deg-15,H,False
1642,0,apple,spider,deg-15,deg15,H,True
1219,50,banana,snake,deg15,deg-15,G,False
1255,25,spider,apple,deg-15,deg15,G,True
1749,0,snake,banana,deg15,deg-15,G,True
783,50,banana,spider,deg-15,deg15,H,True
1142,50,banana,spider,deg15,deg-15,G,False
1815,25,apple,spider,deg-15,deg15,H,True
1389,0,banana,snake,deg-15,deg15,H,True
1430,25,banana,spider,deg15,deg-15,H,True
1924,50,spider,banana,deg15,deg-15,H,False
894,50,banana,snake,deg15,deg-15,G,False
1959,50,snake,apple,deg-15,deg15,H,False
2171,100,spider,apple,deg-15,deg15,G,True
890,25,spider,apple,deg-15,deg15,G,True
2243,50,snake,banana,deg15,deg-15,H,False
3029,100,spider,apple,deg15,deg-15,G,True
821,100,snake,banana,deg15,deg-15,G,True
1247,100,apple,spider,deg-15,deg15,G,False
1707,50,spider,apple,deg15,deg-15,H,False
892,50,snake,banana,deg-15,deg15,G,True
998,100,apple,snake,deg-15,deg15,H,True
1111,25,banana,spider,deg15,deg-15,G,False
1253,0,snake,banana,deg15,deg-15,G,True
1037,50,banana,snake,deg15,deg-15,H,True
1213,100,snake,banana,deg-15,deg15,H,False
894,100,spider,apple,deg-15,deg15,G,True
925,100,apple,snake,deg15,deg-15,G,False
1289,25,snake,banana,deg-15,deg15,G,True
2571,25,banana,spider,deg15,deg-15,H,True
1034,100,spider,banana,deg-15,deg15,H,False
890,0,banana,snake,deg-15,deg15,G,True
1642,0,snake,apple,deg15,deg-15,H,True
2313,25,snake,apple,deg-15,deg15,G,True
2224,50,spider,apple,deg15,deg-15,H,False
1182,50,snake,banana,deg-15,deg15,G,True
2280,25,apple,snake,deg15,deg-15,H,True
1746,50,apple,snake,deg15,deg-15,G,False
1706,0,spider,apple,deg-15,deg15,H,True
890,100,banana,snake,deg15,deg-15,H,True
1423,50,banana,spider,deg15,deg-15,H,True
817,100,snake,apple,deg15,deg-15,G,True
1318,100,banana,snake,deg15,deg-15,H,True
962,50,banana,spider,deg15,deg-15,G,False
1140,0,snake,apple,deg-15,deg15,G,True
816,0,snake,apple,deg-15,deg15,H,True
2213,0,banana,snake,deg15,deg-15,H,True
782,0,snake,banana,deg15,deg-15,G,True
2493,50,apple,spider,deg-15,deg15,G,False
1535,25,snake,apple,deg-15,deg15,H,False
1789,100,snake,apple,deg-15,deg15,G,True
1493,50,spider,apple,deg15,deg-15,H,False
1500,25,banana,snake,deg15,deg-15,G,False
966,50,banana,spider,deg-15,deg15,H,True
1322,100,snake,apple,deg-15,deg15,G,True
1392,100,spider,apple,deg15,deg-15,H,False
1076,0,apple,snake,deg-15,deg15,G,True
2434,0,snake,banana,deg15,deg-15,H,True
1068,50,snake,banana,deg15,deg-15,G,True
1708,0,banana,spider,deg15,deg-15,H,True
1710,25,banana,spider,deg-15,deg15,H,True
998,25,apple,spider,deg-15,deg15,G,False
1245,0,spider,banana,deg-15,deg15,G,True
1143,25,snake,apple,deg15,deg-15,G,True
2100,100,apple,spider,deg15,deg-15,H,True
1213,50,banana,snake,deg15,deg-15,H,True
1853,0,snake,apple,deg15,deg-15,H,True
1929,50,spider,apple,deg-15,deg15,H,False
1002,50,snake,apple,deg15,deg-15,G,True
2076,100,banana,snake,deg15,deg-15,G,False
897,50,snake,banana,deg-15,deg15,G,True
1218,50,spider,banana,deg-15,deg15,G,True
1179,0,apple,snake,deg15,deg-15,H,True
999,50,banana,spider,deg-15,deg15,H,True
1941,50,spider,apple,deg-15,deg15,H,False
822,25,snake,banana,deg-15,deg15,G,True
1743,25,spider,banana,deg-15,deg15,H,False
999,0,banana,snake,deg15,deg-15,G,True
1674,50,snake,banana,deg15,deg-15,G,True
1533,50,spider,banana,deg15,deg-15,H,False
932,25,banana,spider,deg15,deg-15,G,False
976,50,apple,snake,deg15,deg-15,G,False
932,25,snake,apple,deg15,deg-15,H,False
997,50,spider,apple,deg15,deg-15,G,True
1033,25,apple,snake,deg-15,deg15,H,True
855,25,banana,snake,deg15,deg-15,G,False
1074,50,snake,banana,deg-15,deg15,G,True
1967,100,apple,spider,deg15,deg-15,H,True
1644,50,banana,snake,deg15,deg-15,G,False
605,25,snake,banana,deg-15,deg15,G,True
855,25,spider,apple,deg-15,deg15,H,False
1180,100,apple,snake,deg-15,deg15,H,True
748,0,spider,banana,deg-15,deg15,G,True
851,0,banana,snake,deg-15,deg15,G,True
1069,50,snake,banana,deg-15,deg15,G,True
748,0,apple,snake,deg15,deg-15,G,True
1032,100,spider,apple,deg-15,deg15,G,True
