DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
623,100,apple,snake,deg-15,deg15,Left,False
1954,25,spider,apple,deg15,deg-15,Right,False
2212,25,spider,banana,deg15,deg-15,Left,True
1197,50,snake,apple,deg15,deg-15,Right,False
2577,0,banana,snake,deg-15,deg15,Right,True
2212,50,snake,banana,deg-15,deg15,Left,False
2215,25,spider,banana,deg-15,deg15,Left,False
3576,25,apple,spider,deg-15,deg15,Left,False
827,100,snake,banana,deg15,deg-15,Right,False
799,100,spider,banana,deg-15,deg15,Left,False
637,50,apple,snake,deg-15,deg15,Left,False
1065,100,spider,banana,deg15,deg-15,Right,False
3237,25,banana,snake,deg15,deg-15,Left,True
4748,0,spider,banana,deg-15,deg15,Right,True
932,50,spider,apple,deg-15,deg15,Left,False
1641,50,banana,spider,deg15,deg-15,Left,True
1130,25,snake,banana,deg-15,deg15,Left,False
657,100,spider,banana,deg-15,deg15,Left,False
4567,25,snake,banana,deg-15,deg15,Right,True
709,100,banana,spider,deg15,deg-15,Right,False
632,50,banana,spider,deg15,deg-15,Right,False
2283,50,apple,spider,deg-15,deg15,Left,False
2304,50,spider,banana,deg-15,deg15,Left,False
798,25,apple,spider,deg-15,deg15,Left,False
710,100,snake,apple,deg-15,deg15,Left,False
5462,25,banana,snake,deg15,deg-15,Left,True
829,50,banana,spider,deg-15,deg15,Left,False
711,100,banana,snake,deg-15,deg15,Left,False
1310,25,apple,snake,deg-15,deg15,Left,False
1866,100,snake,banana,deg15,deg-15,Left,True
658,100,spider,apple,deg15,deg-15,Right,False
4748,25,apple,spider,deg-15,deg15,Left,False
589,50,apple,snake,deg-15,deg15,Left,False
1323,25,snake,apple,deg15,deg-15,Left,True
690,100,apple,spider,deg15,deg-15,Right,False
2559,0,spider,banana,deg-15,deg15,Left,True
4945,25,snake,apple,deg-15,deg15,Right,True
642,100,banana,spider,deg-15,deg15,Left,False
930,0,apple,snake,deg-15,deg15,Left,True
3811,0,spider,banana,deg15,deg-15,Left,True
631,100,banana,spider,deg15,deg-15,Right,False
1171,100,spider,banana,deg15,deg-15,Right,False
657,100,spider,apple,deg15,deg-15,Right,False
1678,25,banana,snake,deg15,deg-15,Left,True
1243,50,spider,banana,deg-15,deg15,Left,False
622,100,apple,spider,deg-15,deg15,Left,False
1909,25,spider,banana,deg-15,deg15,Left,False
