DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
605,50,apple,snake,deg-15,deg15,Left,True
761,25,snake,banana,deg-15,deg15,Right,False
513,50,banana,snake,deg15,deg-15,Right,True
1348,50,snake,apple,deg15,deg-15,Left,False
485,100,apple,snake,deg-15,deg15,Left,True
477,100,banana,snake,deg15,deg-15,Right,True
410,100,apple,snake,deg15,deg-15,Right,True
423,50,spider,banana,deg-15,deg15,Left,True
516,50,apple,snake,deg-15,deg15,Left,True
759,0,snake,banana,deg15,deg-15,Right,True
637,25,banana,snake,deg-15,deg15,Right,False
1081,25,snake,banana,deg-15,deg15,Left,True
760,25,apple,spider,deg-15,deg15,Right,False
2075,50,snake,banana,deg-15,deg15,Right,False
674,25,snake,banana,deg-15,deg15,Right,False
637,100,apple,snake,deg15,deg-15,Right,True
1184,0,spider,apple,deg-15,deg15,Left,True
727,0,banana,spider,deg-15,deg15,Left,True
619,25,snake,apple,deg15,deg-15,Left,False
583,100,banana,spider,deg15,deg-15,Right,True
671,25,spider,apple,deg15,deg-15,Left,False
515,50,snake,banana,deg15,deg-15,Right,True
1059,0,apple,spider,deg15,deg-15,Left,True
619,25,apple,spider,deg15,deg-15,Right,True
600,100,apple,spider,deg15,deg-15,Right,True
548,25,spider,apple,deg-15,deg15,Right,False
1733,50,spider,apple,deg15,deg-15,Left,False
957,100,spider,apple,deg-15,deg15,Left,True
654,100,snake,banana,deg15,deg-15,Right,True
795,50,apple,spider,deg-15,deg15,Left,True
1415,0,spider,banana,deg-15,deg15,Left,True
724,25,apple,spider,deg-15,deg15,Left,True
1100,25,spider,apple,deg15,deg-15,Left,False
1452,25,banana,spider,deg-15,deg15,Right,False
655,50,apple,snake,deg15,deg-15,Right,True
498,100,snake,apple,deg-15,deg15,Left,True
814,50,banana,snake,deg15,deg-15,Left,False
901,100,spider,apple,deg-15,deg15,Left,True
2281,25,snake,apple,deg15,deg-15,Right,True
2155,0,apple,spider,deg15,deg-15,Right,True
637,25,spider,apple,deg-15,deg15,Left,True
1007,0,spider,banana,deg-15,deg15,Left,True
868,25,snake,apple,deg15,deg-15,Left,False
548,100,banana,snake,deg15,deg-15,Right,True
690,50,snake,apple,deg15,deg-15,Left,False
691,100,apple,spider,deg-15,deg15,Left,True
744,25,snake,apple,deg-15,deg15,Left,True
2234,25,banana,spider,deg15,deg-15,Right,True
1805,25,spider,apple,deg15,deg-15,Right,True
672,0,banana,snake,deg-15,deg15,Left,True
1751,25,apple,spider,deg15,deg-15,Right,True
2035,0,spider,banana,deg-15,deg15,Left,True
1785,25,apple,spider,deg15,deg-15,Right,True
743,50,banana,spider,deg-15,deg15,Left,True
1308,50,banana,snake,deg15,deg-15,Right,True
1046,50,snake,apple,deg15,deg-15,Left,False
2799,50,spider,apple,deg-15,deg15,Right,False
1217,50,spider,banana,deg15,deg-15,Right,True
547,100,snake,banana,deg15,deg-15,Right,True
497,100,apple,spider,deg15,deg-15,Right,True
462,100,apple,snake,deg15,deg-15,Right,True
444,0,spider,apple,deg-15,deg15,Right,True
516,50,banana,spider,deg-15,deg15,Left,True
533,100,snake,banana,deg15,deg-15,Right,True
410,100,snake,banana,deg15,deg-15,Right,True
1277,50,apple,snake,deg-15,deg15,Right,False
601,100,spider,banana,deg-15,deg15,Left,True
1134,0,spider,banana,deg15,deg-15,Right,True
424,50,banana,spider,deg-15,deg15,Left,True
638,25,apple,snake,deg-15,deg15,Left,True
1310,25,apple,snake,deg15,deg-15,Right,True
497,25,apple,snake,deg-15,deg15,Left,True
460,50,apple,spider,deg-15,deg15,Left,True
586,50,banana,snake,deg-15,deg15,Left,True
1595,50,snake,apple,deg15,deg-15,Right,True
1028,50,apple,snake,deg-15,deg15,Right,False
2671,25,banana,snake,deg-15,deg15,Right,False
992,25,banana,snake,deg15,deg-15,Right,True
618,25,apple,snake,deg-15,deg15,Left,True
869,25,apple,spider,deg-15,deg15,Right,False
511,50,banana,snake,deg15,deg-15,Right,True
587,25,snake,apple,deg-15,deg15,Left,True
513,100,snake,banana,deg15,deg-15,Right,True
1557,25,spider,banana,deg-15,deg15,Left,True
707,100,spider,banana,deg15,deg-15,Right,True
518,100,snake,banana,deg-15,deg15,Left,True
797,50,banana,snake,deg-15,deg15,Left,True
836,0,spider,apple,deg-15,deg15,Left,True
728,0,spider,banana,deg15,deg-15,Right,True
498,25,spider,apple,deg-15,deg15,Left,True
622,100,apple,snake,deg15,deg-15,Right,True
517,25,spider,banana,deg15,deg-15,Right,True
462,100,snake,apple,deg15,deg-15,Right,True
480,0,snake,apple,deg15,deg-15,Right,True
1014,0,apple,spider,deg15,deg-15,Left,True
550,50,spider,banana,deg-15,deg15,Left,True
760,100,spider,banana,deg15,deg-15,Right,True
554,25,snake,apple,deg-15,deg15,Left,True
640,50,banana,snake,deg-15,deg15,Left,True
625,50,apple,spider,deg15,deg-15,Right,True
429,100,snake,apple,deg15,deg-15,Right,True
445,100,apple,snake,deg15,deg-15,Right,True
978,0,snake,banana,deg-15,deg15,Right,True
461,50,snake,banana,deg15,deg-15,Right,True
515,0,spider,apple,deg15,deg-15,Right,True
480,100,banana,snake,deg-15,deg15,Left,True
461,100,banana,snake,deg15,deg-15,Right,True
751,0,apple,snake,deg15,deg-15,Left,True
588,100,snake,banana,deg-15,deg15,Left,True
518,100,banana,spider,deg15,deg-15,Right,True
460,100,apple,snake,deg-15,deg15,Left,True
890,100,spider,apple,deg15,deg-15,Right,True
482,100,apple,snake,deg15,deg-15,Right,True
712,50,banana,snake,deg15,deg-15,Right,True
854,0,snake,apple,deg-15,deg15,Left,True
1334,25,apple,snake,deg15,deg-15,Left,False
819,50,spider,apple,deg15,deg-15,Left,False
536,25,snake,apple,deg-15,deg15,Left,True
554,0,apple,snake,deg15,deg-15,Left,True
747,0,snake,apple,deg15,deg-15,Right,True
549,100,banana,snake,deg15,deg-15,Right,True
960,50,spider,banana,deg15,deg-15,Right,True
462,100,apple,spider,deg-15,deg15,Left,True
448,100,apple,snake,deg-15,deg15,Left,True
875,25,snake,banana,deg-15,deg15,Right,False
427,100,apple,snake,deg15,deg-15,Right,True
588,0,banana,snake,deg15,deg-15,Right,True
430,100,spider,banana,deg15,deg-15,Right,True
533,25,apple,spider,deg-15,deg15,Left,True
1120,25,banana,spider,deg-15,deg15,Right,False
750,50,banana,snake,deg15,deg-15,Right,True
710,50,apple,snake,deg-15,deg15,Left,True
568,50,banana,spider,deg15,deg-15,Right,True
443,50,apple,spider,deg15,deg-15,Right,True
373,50,snake,apple,deg15,deg-15,Right,True
696,0,banana,snake,deg-15,deg15,Right,True
394,100,snake,banana,deg15,deg-15,Right,True
413,50,spider,apple,deg-15,deg15,Left,True
410,25,spider,banana,deg15,deg-15,Right,True
409,50,apple,snake,deg-15,deg15,Left,True
639,0,snake,apple,deg-15,deg15,Right,True
425,25,apple,snake,deg-15,deg15,Left,True
412,0,spider,apple,deg-15,deg15,Right,True
498,25,spider,banana,deg15,deg-15,Right,True
764,0,spider,apple,deg15,deg-15,Right,True
394,50,snake,apple,deg-15,deg15,Left,True
502,25,apple,snake,deg-15,deg15,Left,True
449,100,apple,snake,deg-15,deg15,Left,True
787,0,banana,spider,deg-15,deg15,Left,True
587,25,apple,snake,deg15,deg-15,Left,False
553,100,banana,spider,deg-15,deg15,Left,True
748,25,banana,snake,deg-15,deg15,Left,True
643,25,snake,banana,deg-15,deg15,Right,False
797,0,apple,spider,deg-15,deg15,Left,True
428,100,snake,apple,deg15,deg-15,Right,True
765,100,banana,snake,deg15,deg-15,Right,True
2044,50,spider,apple,deg15,deg-15,Right,True
465,50,apple,spider,deg-15,deg15,Left,True
673,100,apple,snake,deg-15,deg15,Left,True
800,0,snake,apple,deg15,deg-15,Left,True
818,0,spider,apple,deg15,deg-15,Left,True
676,100,snake,apple,deg15,deg-15,Right,True
658,100,snake,banana,deg-15,deg15,Left,True
674,25,apple,spider,deg15,deg-15,Right,True
445,100,apple,snake,deg-15,deg15,Left,True
657,25,banana,spider,deg-15,deg15,Right,False
462,25,snake,banana,deg-15,deg15,Left,True
557,25,banana,snake,deg15,deg-15,Left,False
628,25,spider,apple,deg-15,deg15,Left,True
467,100,banana,snake,deg15,deg-15,Right,True
859,0,spider,apple,deg-15,deg15,Left,True
730,50,spider,banana,deg15,deg-15,Left,False
763,0,banana,spider,deg15,deg-15,Right,True
500,100,snake,apple,deg15,deg-15,Right,True
533,50,apple,snake,deg-15,deg15,Left,True
425,100,snake,banana,deg15,deg-15,Right,True
409,100,banana,snake,deg15,deg-15,Right,True
465,50,spider,apple,deg15,deg-15,Right,True
410,25,apple,spider,deg-15,deg15,Left,True
711,25,snake,apple,deg-15,deg15,Left,True
406,50,apple,snake,deg15,deg-15,Right,True
478,50,spider,banana,deg15,deg-15,Right,True
856,0,banana,spider,deg15,deg-15,Right,True
643,25,banana,snake,deg15,deg-15,Right,True
500,50,apple,snake,deg-15,deg15,Left,True
444,100,banana,spider,deg-15,deg15,Left,True
694,0,snake,banana,deg15,deg-15,Left,True
477,50,spider,banana,deg15,deg-15,Left,False
446,100,apple,snake,deg15,deg-15,Right,True
589,25,banana,snake,deg15,deg-15,Right,True
479,100,banana,spider,deg15,deg-15,Right,True
889,50,banana,spider,deg-15,deg15,Left,True
444,100,spider,banana,deg-15,deg15,Left,True
480,100,apple,snake,deg-15,deg15,Left,True
799,50,banana,snake,deg-15,deg15,Left,True
553,0,spider,apple,deg-15,deg15,Left,True
589,0,snake,banana,deg-15,deg15,Left,True
764,50,spider,banana,deg-15,deg15,Left,True
538,0,snake,banana,deg-15,deg15,Left,True
552,25,spider,apple,deg15,deg-15,Right,True
1673,25,banana,spider,deg-15,deg15,Left,True
