DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
767,25,banana,snake,deg-15,deg15,Right,True
602,50,banana,spider,deg15,deg-15,Right,False
646,25,spider,banana,deg15,deg-15,Right,False
708,50,banana,spider,deg-15,deg15,Left,False
632,25,banana,snake,deg15,deg-15,Right,False
545,50,spider,apple,deg-15,deg15,Left,False
399,100,apple,spider,deg15,deg-15,Right,False
412,0,spider,apple,deg15,deg-15,Left,True
412,100,banana,snake,deg-15,deg15,Left,False
452,25,banana,spider,deg-15,deg15,Right,True
662,25,banana,snake,deg15,deg-15,Right,False
472,0,apple,spider,deg15,deg-15,Right,True
695,25,apple,snake,deg15,deg-15,Left,True
502,50,banana,snake,deg15,deg-15,Right,False
399,50,snake,banana,deg15,deg-15,Right,False
325,100,apple,snake,deg-15,deg15,Left,False
385,50,snake,apple,deg15,deg-15,Right,False
370,0,snake,apple,deg-15,deg15,Left,True
369,50,snake,banana,deg15,deg-15,Right,False
384,50,snake,banana,deg15,deg-15,Right,False
471,0,banana,snake,deg-15,deg15,Right,True
693,25,apple,spider,deg15,deg-15,Right,False
518,25,apple,snake,deg15,deg-15,Right,False
473,100,spider,apple,deg15,deg-15,Right,False
385,50,snake,banana,deg-15,deg15,Left,False
426,25,snake,apple,deg-15,deg15,Left,False
414,50,snake,apple,deg15,deg-15,Right,False
429,0,snake,apple,deg15,deg-15,Right,True
547,25,spider,banana,deg15,deg-15,Right,False
400,25,spider,banana,deg-15,deg15,Left,False
620,50,banana,spider,deg15,deg-15,Right,False
884,50,banana,spider,deg-15,deg15,Left,False
679,25,snake,apple,deg15,deg-15,Left,True
429,50,snake,apple,deg-15,deg15,Right,True
397,50,spider,apple,deg15,deg-15,Right,False
371,50,snake,apple,deg15,deg-15,Right,False
399,0,apple,snake,deg-15,deg15,Right,True
533,50,banana,spider,deg-15,deg15,Right,True
534,100,banana,spider,deg15,deg-15,Right,False
471,100,banana,spider,deg-15,deg15,Left,False
474,50,snake,apple,deg-15,deg15,Right,True
800,50,apple,snake,deg-15,deg15,Right,True
445,25,banana,spider,deg-15,deg15,Left,False
426,25,banana,snake,deg-15,deg15,Right,True
607,25,spider,banana,deg-15,deg15,Right,True
607,25,spider,apple,deg15,deg-15,Left,True
444,25,apple,spider,deg15,deg-15,Right,False
578,100,apple,snake,deg15,deg-15,Right,False
517,0,spider,banana,deg-15,deg15,Right,True
503,0,banana,snake,deg-15,deg15,Right,True
501,50,apple,spider,deg-15,deg15,Right,True
461,0,snake,apple,deg15,deg-15,Right,True
489,0,spider,apple,deg15,deg-15,Right,True
458,100,apple,snake,deg15,deg-15,Right,False
488,100,snake,banana,deg-15,deg15,Left,False
325,100,snake,apple,deg15,deg-15,Right,False
622,100,banana,spider,deg-15,deg15,Left,False
400,50,banana,snake,deg15,deg-15,Right,False
458,25,spider,banana,deg-15,deg15,Right,True
533,25,spider,apple,deg15,deg-15,Right,False
474,0,spider,banana,deg-15,deg15,Right,True
504,0,banana,spider,deg-15,deg15,Right,True
577,50,banana,spider,deg-15,deg15,Left,False
652,50,spider,apple,deg15,deg-15,Left,True
456,50,spider,apple,deg-15,deg15,Right,True
575,50,banana,spider,deg-15,deg15,Left,False
472,25,snake,banana,deg-15,deg15,Right,True
546,25,spider,banana,deg-15,deg15,Right,True
458,0,spider,apple,deg15,deg-15,Right,True
782,50,banana,spider,deg15,deg-15,Right,False
591,100,banana,spider,deg15,deg-15,Right,False
505,100,banana,spider,deg15,deg-15,Right,False
427,100,banana,snake,deg-15,deg15,Left,False
518,100,snake,banana,deg-15,deg15,Left,False
486,100,banana,spider,deg-15,deg15,Left,False
415,25,spider,banana,deg-15,deg15,Left,False
519,25,apple,spider,deg-15,deg15,Left,False
565,50,banana,spider,deg-15,deg15,Right,True
622,50,banana,spider,deg15,deg-15,Right,False
798,100,snake,apple,deg-15,deg15,Right,True
578,100,apple,snake,deg15,deg-15,Right,False
445,0,apple,snake,deg15,deg-15,Right,True
579,0,banana,spider,deg15,deg-15,Right,True
598,100,snake,banana,deg-15,deg15,Left,False
549,0,spider,apple,deg15,deg-15,Left,True
695,25,banana,snake,deg15,deg-15,Left,True
818,50,snake,apple,deg15,deg-15,Left,True
433,0,banana,spider,deg15,deg-15,Right,True
516,100,spider,apple,deg-15,deg15,Left,False
652,50,spider,banana,deg15,deg-15,Right,False
531,50,banana,spider,deg-15,deg15,Right,True
634,100,snake,banana,deg-15,deg15,Left,False
458,25,snake,apple,deg-15,deg15,Right,True
737,50,banana,spider,deg15,deg-15,Left,True
590,100,banana,snake,deg15,deg-15,Right,False
653,100,spider,banana,deg-15,deg15,Right,True
571,50,snake,apple,deg-15,deg15,Right,True
544,50,spider,apple,deg15,deg-15,Right,False
546,25,apple,snake,deg-15,deg15,Right,True
548,50,spider,apple,deg15,deg-15,Right,False
444,25,spider,apple,deg-15,deg15,Left,False
800,25,snake,apple,deg15,deg-15,Left,True
619,50,snake,apple,deg15,deg-15,Left,True
560,50,banana,snake,deg15,deg-15,Left,True
397,0,apple,spider,deg-15,deg15,Right,True
748,50,banana,snake,deg-15,deg15,Right,True
954,50,banana,snake,deg-15,deg15,Left,False
814,0,spider,apple,deg15,deg-15,Right,True
490,25,snake,apple,deg-15,deg15,Left,False
637,0,apple,spider,deg-15,deg15,Left,True
767,100,spider,apple,deg-15,deg15,Right,True
739,50,apple,snake,deg-15,deg15,Left,False
532,100,apple,snake,deg15,deg-15,Right,False
547,50,snake,banana,deg-15,deg15,Right,True
604,100,banana,snake,deg15,deg-15,Right,False
679,0,apple,spider,deg15,deg-15,Right,True
874,25,spider,banana,deg-15,deg15,Left,False
635,100,apple,snake,deg15,deg-15,Right,False
652,100,banana,snake,deg-15,deg15,Right,True
576,25,spider,apple,deg15,deg-15,Left,True
696,50,apple,snake,deg-15,deg15,Right,True
724,25,snake,apple,deg-15,deg15,Left,False
856,50,banana,snake,deg15,deg-15,Right,False
651,25,spider,banana,deg15,deg-15,Left,True
590,50,apple,snake,deg15,deg-15,Right,False
678,25,banana,snake,deg-15,deg15,Left,False
678,100,spider,banana,deg15,deg-15,Left,True
799,25,spider,apple,deg-15,deg15,Left,False
531,25,banana,spider,deg15,deg-15,Left,True
648,100,snake,banana,deg-15,deg15,Left,False
617,25,spider,banana,deg-15,deg15,Left,False
529,50,banana,spider,deg15,deg-15,Right,False
914,0,spider,banana,deg15,deg-15,Left,True
532,50,snake,banana,deg15,deg-15,Left,True
620,25,snake,apple,deg15,deg-15,Right,False
620,100,banana,snake,deg-15,deg15,Left,False
741,50,snake,apple,deg15,deg-15,Left,True
607,50,snake,banana,deg15,deg-15,Left,True
754,25,spider,banana,deg15,deg-15,Left,True
519,25,banana,snake,deg-15,deg15,Right,True
769,50,banana,snake,deg15,deg-15,Right,False
681,25,apple,spider,deg-15,deg15,Right,True
592,100,banana,spider,deg-15,deg15,Left,False
591,25,banana,snake,deg15,deg-15,Right,False
976,25,banana,spider,deg-15,deg15,Right,True
828,50,apple,snake,deg15,deg-15,Right,False
506,50,apple,snake,deg-15,deg15,Right,True
605,0,spider,banana,deg-15,deg15,Right,True
1871,25,snake,apple,deg-15,deg15,Right,True
900,25,snake,apple,deg-15,deg15,Right,True
723,25,banana,snake,deg15,deg-15,Left,True
839,100,snake,banana,deg15,deg-15,Right,False
560,100,spider,apple,deg15,deg-15,Right,False
487,50,snake,banana,deg15,deg-15,Right,False
649,25,spider,apple,deg-15,deg15,Right,True
798,50,banana,snake,deg-15,deg15,Left,False
664,0,snake,banana,deg15,deg-15,Left,True
635,25,spider,apple,deg15,deg-15,Left,True
843,25,apple,spider,deg15,deg-15,Left,True
783,100,spider,apple,deg-15,deg15,Left,False
560,100,spider,banana,deg-15,deg15,Left,False
620,50,banana,snake,deg15,deg-15,Left,True
695,50,apple,spider,deg15,deg-15,Right,False
575,0,snake,banana,deg-15,deg15,Left,True
606,50,banana,snake,deg-15,deg15,Right,True
782,0,snake,apple,deg-15,deg15,Left,True
517,25,apple,snake,deg15,deg-15,Left,True
1063,100,apple,spider,deg-15,deg15,Left,False
591,100,banana,spider,deg15,deg-15,Right,False
620,50,apple,spider,deg15,deg-15,Right,False
533,0,banana,snake,deg15,deg-15,Right,True
638,50,apple,spider,deg15,deg-15,Right,False
