DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
2600,25,apple,spider,deg-15,deg15,Left,False
1115,100,snake,banana,deg-15,deg15,Left,False
936,25,banana,snake,deg15,deg-15,Left,True
924,25,spider,apple,deg15,deg-15,Right,False
788,100,apple,spider,deg-15,deg15,Left,False
1255,25,apple,snake,deg-15,deg15,Right,True
1285,100,banana,snake,deg15,deg-15,Right,False
738,100,spider,banana,deg15,deg-15,Right,False
709,50,snake,banana,deg15,deg-15,Right,False
846,100,apple,spider,deg-15,deg15,Left,False
804,100,apple,spider,deg15,deg-15,Right,False
1043,25,banana,snake,deg-15,deg15,Right,True
1012,50,banana,spider,deg15,deg-15,Left,True
680,50,snake,banana,deg-15,deg15,Left,False
1026,100,apple,snake,deg-15,deg15,Left,False
906,0,banana,spider,deg15,deg-15,Left,True
1073,100,apple,snake,deg15,deg-15,Right,False
666,50,snake,apple,deg15,deg-15,Right,False
1253,100,banana,spider,deg-15,deg15,Left,False
729,100,snake,apple,deg-15,deg15,Left,False
697,50,snake,banana,deg15,deg-15,Right,False
713,50,spider,banana,deg15,deg-15,Right,False
729,50,banana,spider,deg-15,deg15,Right,True
787,50,snake,apple,deg-15,deg15,Left,False
894,25,snake,banana,deg-15,deg15,Left,False
1013,25,apple,spider,deg15,deg-15,Left,True
1198,50,apple,snake,deg-15,deg15,Right,True
1528,50,banana,snake,deg15,deg-15,Right,False
1108,50,banana,snake,deg-15,deg15,Left,False
955,50,banana,snake,deg15,deg-15,Left,True
1029,50,apple,snake,deg15,deg-15,Right,False
983,50,banana,snake,deg-15,deg15,Left,False
1091,0,banana,spider,deg15,deg-15,Left,True
1379,25,banana,snake,deg15,deg-15,Left,True
847,100,spider,apple,deg-15,deg15,Left,False
713,25,spider,apple,deg-15,deg15,Left,False
789,50,spider,banana,deg15,deg-15,Right,False
819,25,banana,spider,deg-15,deg15,Right,True
711,25,spider,banana,deg15,deg-15,Right,False
757,25,spider,banana,deg15,deg-15,Right,False
908,50,apple,spider,deg-15,deg15,Right,True
