DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
754,25,banana,spider,deg15,deg-15,Left,False
1055,50,spider,apple,deg-15,deg15,Left,True
5587,100,snake,banana,deg15,deg-15,Right,True
882,100,apple,spider,deg15,deg-15,Right,True
1129,25,spider,banana,deg15,deg-15,Right,True
3745,0,banana,snake,deg15,deg-15,Right,True
6485,50,banana,snake,deg-15,deg15,Left,True
1285,0,banana,spider,deg-15,deg15,Left,True
1157,50,spider,banana,deg-15,deg15,Left,True
1185,25,spider,banana,deg15,deg-15,Right,True
2026,25,spider,banana,deg15,deg-15,Right,True
1475,50,banana,snake,deg15,deg-15,Right,True
939,50,snake,banana,deg-15,deg15,Left,True
1056,100,apple,snake,deg15,deg-15,Right,True
1405,0,spider,banana,deg15,deg-15,Right,True
1239,50,spider,apple,deg15,deg-15,Right,True
852,100,apple,snake,deg15,deg-15,Right,True
2181,50,banana,snake,deg15,deg-15,Right,True
2545,100,snake,banana,deg-15,deg15,Right,False
679,50,spider,apple,deg-15,deg15,Right,False
1184,50,banana,snake,deg-15,deg15,Right,False
1113,50,snake,apple,deg15,deg-15,Right,True
1402,100,snake,banana,deg-15,deg15,Left,True
2153,100,apple,spider,deg15,deg-15,Left,False
680,100,spider,banana,deg-15,deg15,Left,True
901,50,spider,banana,deg-15,deg15,Left,True
1549,100,spider,banana,deg-15,deg15,Left,True
3639,0,apple,spider,deg-15,deg15,Left,True
1043,50,snake,banana,deg15,deg-15,Right,True
1545,25,apple,snake,deg15,deg-15,Right,True
1562,50,snake,banana,deg15,deg-15,Right,True
4238,25,snake,apple,deg15,deg-15,Right,True
2803,100,banana,snake,deg-15,deg15,Right,False
18108,25,banana,spider,deg15,deg-15,Right,True
2039,100,banana,snake,deg15,deg-15,Right,True
1129,100,snake,apple,deg-15,deg15,Left,True
1652,0,snake,banana,deg15,deg-15,Left,True
1174,100,apple,spider,deg15,deg-15,Right,True
1013,25,spider,apple,deg15,deg-15,Left,False
971,100,banana,snake,deg15,deg-15,Right,True
1173,25,banana,spider,deg15,deg-15,Right,True
2034,25,apple,spider,deg-15,deg15,Left,True
852,100,apple,snake,deg-15,deg15,Left,True
1028,25,snake,apple,deg15,deg-15,Left,False
779,100,apple,spider,deg15,deg-15,Right,True
679,25,snake,apple,deg15,deg-15,Left,False
2154,100,apple,spider,deg-15,deg15,Left,True
925,100,snake,banana,deg15,deg-15,Right,True
943,50,banana,snake,deg-15,deg15,Right,False
851,50,spider,apple,deg15,deg-15,Left,False
968,100,apple,snake,deg15,deg-15,Right,True
1025,25,spider,apple,deg-15,deg15,Right,False
983,50,spider,apple,deg-15,deg15,Left,True
766,25,spider,apple,deg-15,deg15,Right,False
2384,25,banana,snake,deg15,deg-15,Left,False
635,25,spider,banana,deg15,deg-15,Right,True
736,50,banana,spider,deg-15,deg15,Right,False
735,100,snake,apple,deg15,deg-15,Right,True
797,100,spider,apple,deg15,deg-15,Left,False
794,25,spider,banana,deg15,deg-15,Right,True
678,25,snake,banana,deg-15,deg15,Left,True
766,100,banana,snake,deg-15,deg15,Right,False
1012,25,snake,apple,deg15,deg-15,Left,False
910,100,snake,apple,deg-15,deg15,Right,False
1777,25,snake,banana,deg-15,deg15,Right,False
838,50,snake,banana,deg-15,deg15,Left,True
1201,100,banana,snake,deg-15,deg15,Left,True
1529,50,apple,snake,deg15,deg-15,Right,True
882,50,banana,spider,deg-15,deg15,Left,True
752,50,spider,apple,deg-15,deg15,Right,False
910,100,apple,snake,deg15,deg-15,Right,True
723,50,banana,spider,deg-15,deg15,Left,True
809,50,banana,spider,deg15,deg-15,Right,True
910,100,apple,spider,deg15,deg-15,Right,True
663,0,apple,spider,deg-15,deg15,Left,True
1603,100,snake,banana,deg-15,deg15,Left,True
1243,25,banana,spider,deg-15,deg15,Left,True
837,50,apple,snake,deg-15,deg15,Left,True
2064,0,spider,banana,deg15,deg-15,Left,True
810,50,spider,apple,deg15,deg-15,Left,False
795,0,apple,spider,deg-15,deg15,Left,True
3870,25,banana,spider,deg15,deg-15,Right,True
1330,25,spider,apple,deg15,deg-15,Left,False
695,0,spider,apple,deg-15,deg15,Left,True
654,100,apple,spider,deg-15,deg15,Left,True
722,25,banana,snake,deg-15,deg15,Left,True
694,25,banana,spider,deg15,deg-15,Left,False
1893,0,snake,apple,deg-15,deg15,Left,True
851,100,snake,banana,deg15,deg-15,Right,True
1170,25,snake,banana,deg15,deg-15,Left,False
1314,0,apple,spider,deg15,deg-15,Left,True
725,25,snake,banana,deg15,deg-15,Left,False
636,50,apple,snake,deg-15,deg15,Right,False
636,25,apple,snake,deg15,deg-15,Left,False
1096,25,spider,apple,deg15,deg-15,Left,False
838,0,spider,banana,deg15,deg-15,Left,True
838,50,apple,spider,deg-15,deg15,Left,True
752,0,spider,banana,deg-15,deg15,Right,True
1140,0,banana,spider,deg15,deg-15,Right,True
952,100,apple,snake,deg-15,deg15,Left,True
779,25,banana,snake,deg-15,deg15,Left,True
779,50,apple,snake,deg-15,deg15,Left,True
872,100,banana,spider,deg-15,deg15,Left,True
1331,100,snake,banana,deg-15,deg15,Left,True
1113,100,banana,snake,deg-15,deg15,Left,True
852,0,apple,snake,deg-15,deg15,Left,True
810,100,snake,apple,deg15,deg-15,Right,True
913,50,spider,banana,deg15,deg-15,Left,False
1801,0,apple,spider,deg-15,deg15,Left,True
1000,50,spider,banana,deg15,deg-15,Left,False
822,50,spider,banana,deg15,deg-15,Left,False
753,100,banana,snake,deg15,deg-15,Right,True
893,50,snake,banana,deg15,deg-15,Left,False
867,100,spider,apple,deg15,deg-15,Right,True
967,0,apple,spider,deg15,deg-15,Left,True
1889,25,apple,spider,deg15,deg-15,Right,True
909,25,spider,banana,deg15,deg-15,Right,True
894,25,banana,spider,deg15,deg-15,Right,True
1429,100,snake,apple,deg-15,deg15,Left,True
1097,25,snake,banana,deg15,deg-15,Right,True
1089,25,snake,apple,deg15,deg-15,Right,True
669,0,snake,banana,deg-15,deg15,Right,True
1141,100,banana,spider,deg-15,deg15,Right,False
749,100,banana,spider,deg-15,deg15,Left,True
720,100,snake,apple,deg15,deg-15,Right,True
1000,100,banana,snake,deg15,deg-15,Right,True
943,100,apple,snake,deg15,deg-15,Right,True
680,50,banana,snake,deg15,deg-15,Right,True
678,100,snake,banana,deg-15,deg15,Right,False
997,100,apple,spider,deg15,deg-15,Right,True
708,25,snake,apple,deg-15,deg15,Right,False
894,25,banana,spider,deg15,deg-15,Right,True
779,100,snake,banana,deg-15,deg15,Left,True
864,25,spider,banana,deg15,deg-15,Right,True
1043,50,apple,snake,deg-15,deg15,Left,True
666,100,spider,banana,deg15,deg-15,Right,True
809,0,apple,spider,deg-15,deg15,Left,True
694,50,snake,apple,deg-15,deg15,Left,True
721,25,apple,snake,deg15,deg-15,Left,False
651,0,apple,snake,deg-15,deg15,Left,True
897,25,spider,apple,deg15,deg-15,Left,False
522,0,apple,spider,deg-15,deg15,Left,True
1141,100,apple,snake,deg-15,deg15,Left,True
912,0,banana,spider,deg15,deg-15,Left,True
562,25,banana,spider,deg-15,deg15,Left,True
464,100,banana,snake,deg-15,deg15,Left,True
606,50,spider,banana,deg-15,deg15,Left,True
990,0,snake,apple,deg15,deg-15,Left,True
686,100,snake,banana,deg15,deg-15,Right,True
995,100,spider,banana,deg-15,deg15,Left,True
838,25,snake,apple,deg15,deg-15,Left,False
1054,100,spider,apple,deg-15,deg15,Left,True
708,25,snake,apple,deg-15,deg15,Left,True
924,100,spider,apple,deg-15,deg15,Left,True
799,25,snake,apple,deg15,deg-15,Left,False
677,50,banana,snake,deg15,deg-15,Right,True
652,25,banana,spider,deg15,deg-15,Left,False
563,25,spider,apple,deg15,deg-15,Left,False
562,50,banana,spider,deg15,deg-15,Left,False
1921,50,banana,spider,deg15,deg-15,Left,False
694,50,apple,spider,deg15,deg-15,Right,True
907,100,spider,apple,deg15,deg-15,Right,True
996,25,banana,snake,deg15,deg-15,Left,False
593,25,apple,snake,deg15,deg-15,Left,False
534,25,banana,spider,deg-15,deg15,Left,True
