DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
1374,100,spider,apple,deg15,deg-15,Right,True
1118,25,apple,snake,deg-15,deg15,Left,True
697,100,snake,banana,deg15,deg-15,Right,True
1103,100,snake,apple,deg15,deg-15,Right,True
801,50,snake,apple,deg-15,deg15,Left,True
669,100,apple,snake,deg15,deg-15,Right,True
3862,100,snake,apple,deg15,deg-15,Left,False
1059,50,apple,spider,deg15,deg-15,Right,True
1525,50,banana,snake,deg-15,deg15,Left,True
1016,25,spider,banana,deg15,deg-15,Left,False
1148,100,snake,banana,deg-15,deg15,Left,True
971,100,banana,spider,deg15,deg-15,Right,True
1539,50,spider,banana,deg15,deg-15,Right,True
1147,50,apple,snake,deg15,deg-15,Right,True
987,50,snake,banana,deg-15,deg15,Left,True
841,25,spider,banana,deg-15,deg15,Left,True
2756,50,spider,banana,deg15,deg-15,Left,False
810,100,banana,spider,deg15,deg-15,Right,True
1682,25,spider,banana,deg-15,deg15,Right,False
914,100,spider,banana,deg15,deg-15,Right,True
1060,50,apple,spider,deg15,deg-15,Right,True
1162,100,snake,banana,deg-15,deg15,Left,True
1115,50,spider,banana,deg15,deg-15,Left,False
1207,50,spider,apple,deg15,deg-15,Left,False
1438,25,apple,snake,deg15,deg-15,Left,False
1457,0,apple,snake,deg-15,deg15,Right,True
915,25,snake,apple,deg15,deg-15,Right,True
1195,50,banana,snake,deg15,deg-15,Right,True
1511,25,apple,snake,deg15,deg-15,Left,False
1048,100,snake,banana,deg15,deg-15,Right,True
1149,100,banana,snake,deg15,deg-15,Right,True
1016,0,apple,spider,deg-15,deg15,Left,True
1031,25,apple,snake,deg-15,deg15,Left,True
959,25,snake,apple,deg15,deg-15,Left,False
874,50,apple,snake,deg-15,deg15,Left,True
822,25,spider,apple,deg15,deg-15,Left,False
890,100,snake,apple,deg15,deg-15,Left,False
757,0,apple,snake,deg-15,deg15,Left,True
829,50,apple,spider,deg-15,deg15,Left,True
1089,50,banana,snake,deg15,deg-15,Left,False
990,100,snake,apple,deg-15,deg15,Left,True
1992,25,snake,apple,deg15,deg-15,Right,True
1716,25,apple,snake,deg-15,deg15,Left,True
1668,0,spider,banana,deg15,deg-15,Left,True
815,50,banana,snake,deg-15,deg15,Left,True
713,100,spider,apple,deg15,deg-15,Left,False
744,100,apple,snake,deg-15,deg15,Left,True
859,0,snake,apple,deg15,deg-15,Left,True
627,25,spider,apple,deg15,deg-15,Left,False
784,50,banana,snake,deg-15,deg15,Left,True
685,50,apple,spider,deg-15,deg15,Left,True
1571,100,banana,snake,deg15,deg-15,Right,True
959,100,spider,banana,deg-15,deg15,Left,True
1076,25,spider,banana,deg15,deg-15,Left,False
1485,50,snake,apple,deg-15,deg15,Left,True
971,100,spider,banana,deg-15,deg15,Left,True
1104,25,snake,apple,deg-15,deg15,Left,True
1845,0,snake,banana,deg15,deg-15,Left,True
1092,25,snake,banana,deg-15,deg15,Left,True
959,50,apple,spider,deg-15,deg15,Left,True
755,0,spider,apple,deg15,deg-15,Left,True
1351,0,apple,spider,deg15,deg-15,Right,True
1817,0,spider,apple,deg15,deg-15,Left,True
1048,100,banana,spider,deg15,deg-15,Right,True
1165,50,apple,snake,deg15,deg-15,Right,True
1265,100,spider,apple,deg15,deg-15,Right,True
1001,25,banana,spider,deg15,deg-15,Left,False
831,50,banana,snake,deg15,deg-15,Left,False
1047,100,spider,banana,deg-15,deg15,Left,True
2330,25,banana,spider,deg15,deg-15,Left,False
918,0,spider,banana,deg-15,deg15,Left,True
1881,100,snake,banana,deg15,deg-15,Right,True
1511,100,spider,banana,deg15,deg-15,Right,True
890,0,snake,banana,deg15,deg-15,Right,True
1150,0,snake,banana,deg15,deg-15,Right,True
1061,100,apple,snake,deg-15,deg15,Left,True
1823,0,apple,spider,deg15,deg-15,Right,True
1308,100,banana,snake,deg-15,deg15,Left,True
1165,25,spider,banana,deg15,deg-15,Left,False
1406,25,snake,banana,deg-15,deg15,Left,True
1234,25,apple,spider,deg-15,deg15,Left,True
1120,50,snake,apple,deg15,deg-15,Left,False
920,25,apple,spider,deg-15,deg15,Left,True
848,0,spider,banana,deg15,deg-15,Left,True
1093,50,spider,apple,deg-15,deg15,Left,True
1235,100,spider,apple,deg-15,deg15,Left,True
822,50,snake,banana,deg-15,deg15,Left,True
1366,50,apple,spider,deg15,deg-15,Right,True
2223,100,spider,banana,deg15,deg-15,Left,False
1220,0,apple,spider,deg-15,deg15,Left,True
1766,100,snake,apple,deg15,deg-15,Left,False
1868,0,snake,banana,deg-15,deg15,Left,True
1240,0,apple,spider,deg-15,deg15,Left,True
776,0,apple,snake,deg-15,deg15,Left,True
1421,0,spider,apple,deg-15,deg15,Left,True
703,0,apple,spider,deg15,deg-15,Left,True
660,50,snake,banana,deg-15,deg15,Left,True
1091,100,spider,apple,deg-15,deg15,Left,True
1104,50,banana,snake,deg-15,deg15,Left,True
947,100,snake,banana,deg-15,deg15,Left,True
1252,100,spider,banana,deg15,deg-15,Right,True
863,0,apple,snake,deg15,deg-15,Left,True
1004,50,snake,apple,deg-15,deg15,Left,True
776,25,spider,banana,deg15,deg-15,Left,False
1422,50,apple,snake,deg-15,deg15,Right,False
1221,0,snake,apple,deg15,deg-15,Left,True
733,50,banana,snake,deg-15,deg15,Left,True
703,100,apple,spider,deg15,deg-15,Left,False
1436,25,spider,banana,deg-15,deg15,Right,False
749,100,apple,spider,deg-15,deg15,Left,True
1263,100,apple,spider,deg15,deg-15,Right,True
1222,50,apple,spider,deg15,deg-15,Left,False
