DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
874,100,apple,snake,deg15,deg-15,Right,False
1017,50,spider,banana,deg15,deg-15,Right,False
834,100,spider,apple,deg15,deg-15,Right,False
1302,100,snake,banana,deg-15,deg15,Left,False
925,25,spider,apple,deg-15,deg15,Left,False
1377,50,spider,apple,deg15,deg-15,Right,False
1451,100,apple,snake,deg15,deg-15,Right,False
1084,25,apple,spider,deg15,deg-15,Right,False
2075,25,apple,spider,deg15,deg-15,Left,True
1130,25,spider,apple,deg15,deg-15,Left,True
1482,25,apple,spider,deg15,deg-15,Left,True
893,50,apple,spider,deg15,deg-15,Left,True
1460,50,banana,snake,deg-15,deg15,Left,False
792,50,snake,banana,deg15,deg-15,Left,True
1260,0,banana,spider,deg-15,deg15,Right,True
1612,100,spider,apple,deg-15,deg15,Left,False
1361,25,spider,banana,deg15,deg-15,Right,False
1147,100,banana,snake,deg-15,deg15,Left,False
1322,0,apple,spider,deg15,deg-15,Left,True
1020,25,snake,banana,deg-15,deg15,Left,False
1755,100,snake,banana,deg15,deg-15,Left,True
1284,0,apple,spider,deg15,deg-15,Right,True
1079,25,snake,apple,deg-15,deg15,Right,True
905,0,banana,spider,deg15,deg-15,Left,True
2118,100,banana,snake,deg15,deg-15,Right,False
1532,25,snake,apple,deg-15,deg15,Left,False
1163,25,spider,banana,deg-15,deg15,Right,True
1044,25,banana,snake,deg-15,deg15,Left,False
1192,0,snake,apple,deg-15,deg15,Right,True
809,50,banana,spider,deg-15,deg15,Left,False
1586,100,banana,snake,deg-15,deg15,Left,False
765,100,snake,banana,deg-15,deg15,Left,False
1059,25,apple,spider,deg15,deg-15,Right,False
831,25,apple,snake,deg15,deg-15,Left,True
1240,50,spider,banana,deg-15,deg15,Right,True
2074,0,apple,snake,deg-15,deg15,Right,True
1587,25,banana,spider,deg15,deg-15,Right,False
1705,0,apple,snake,deg15,deg-15,Left,True
843,25,apple,spider,deg15,deg-15,Left,True
1317,0,apple,snake,deg15,deg-15,Left,True
1494,25,banana,snake,deg-15,deg15,Left,False
1923,25,apple,snake,deg15,deg-15,Right,False
1002,0,apple,snake,deg-15,deg15,Left,True
740,25,banana,spider,deg-15,deg15,Left,False
842,100,apple,snake,deg-15,deg15,Left,False
1300,100,spider,apple,deg15,deg-15,Right,False
1093,50,banana,snake,deg-15,deg15,Left,False
1196,100,apple,snake,deg-15,deg15,Right,True
2201,50,apple,spider,deg-15,deg15,Right,True
1181,25,spider,banana,deg-15,deg15,Right,True
1167,50,spider,apple,deg-15,deg15,Left,False
1316,50,banana,snake,deg-15,deg15,Left,False
1391,0,banana,snake,deg-15,deg15,Left,True
1053,25,apple,spider,deg15,deg-15,Right,False
1563,25,banana,spider,deg15,deg-15,Left,True
1093,50,apple,spider,deg15,deg-15,Right,False
1314,25,banana,spider,deg15,deg-15,Right,False
1286,100,spider,banana,deg-15,deg15,Left,False
1230,50,spider,apple,deg15,deg-15,Left,True
714,100,snake,apple,deg-15,deg15,Left,False
1463,50,banana,spider,deg-15,deg15,Left,False
930,25,banana,spider,deg15,deg-15,Right,False
1064,50,snake,banana,deg-15,deg15,Left,False
1002,100,spider,apple,deg-15,deg15,Left,False
840,50,banana,spider,deg-15,deg15,Right,True
1271,25,snake,apple,deg-15,deg15,Left,False
2016,100,banana,spider,deg15,deg-15,Right,False
905,25,spider,apple,deg-15,deg15,Left,False
978,25,banana,spider,deg15,deg-15,Left,True
871,100,banana,snake,deg-15,deg15,Right,True
1354,100,apple,snake,deg-15,deg15,Right,True
3147,25,snake,apple,deg15,deg-15,Left,True
686,0,apple,snake,deg-15,deg15,Right,True
2112,50,snake,apple,deg-15,deg15,Left,False
716,25,snake,banana,deg-15,deg15,Left,False
1311,50,banana,snake,deg-15,deg15,Left,False
1384,50,banana,snake,deg15,deg-15,Left,True
1005,0,spider,banana,deg15,deg-15,Right,True
904,25,snake,apple,deg-15,deg15,Left,False
1545,25,banana,spider,deg-15,deg15,Right,True
1268,50,snake,apple,deg-15,deg15,Right,True
830,50,spider,banana,deg-15,deg15,Left,False
947,0,snake,apple,deg15,deg-15,Right,True
1259,50,snake,banana,deg15,deg-15,Left,True
991,50,banana,spider,deg15,deg-15,Left,True
1728,100,snake,banana,deg-15,deg15,Left,False
654,100,spider,banana,deg-15,deg15,Left,False
1619,25,apple,spider,deg-15,deg15,Right,True
1414,25,snake,apple,deg-15,deg15,Right,True
819,50,banana,snake,deg15,deg-15,Right,False
1928,50,banana,spider,deg-15,deg15,Left,False
933,100,banana,spider,deg-15,deg15,Left,False
1240,0,snake,banana,deg-15,deg15,Left,True
991,100,snake,apple,deg-15,deg15,Left,False
1398,25,banana,spider,deg15,deg-15,Left,True
878,0,snake,banana,deg-15,deg15,Left,True
1200,25,spider,apple,deg15,deg-15,Left,True
714,50,spider,apple,deg-15,deg15,Left,False
848,50,snake,banana,deg15,deg-15,Right,False
1826,50,spider,banana,deg15,deg-15,Right,False
829,25,banana,spider,deg15,deg-15,Right,False
1034,100,spider,apple,deg-15,deg15,Left,False
2098,25,apple,spider,deg-15,deg15,Right,True
1109,100,snake,banana,deg-15,deg15,Left,False
669,100,snake,banana,deg-15,deg15,Left,False
888,100,snake,apple,deg15,deg-15,Right,False
771,100,snake,banana,deg-15,deg15,Left,False
1340,100,spider,apple,deg15,deg-15,Right,False
1109,50,snake,banana,deg-15,deg15,Left,False
1390,0,apple,snake,deg-15,deg15,Left,True
1109,100,apple,spider,deg15,deg-15,Right,False
818,100,spider,banana,deg15,deg-15,Left,True
1373,50,spider,banana,deg15,deg-15,Right,False
1242,0,spider,banana,deg15,deg-15,Right,True
1427,100,spider,banana,deg-15,deg15,Left,False
1020,100,banana,snake,deg15,deg-15,Right,False
1372,25,snake,banana,deg15,deg-15,Right,False
2038,100,apple,spider,deg15,deg-15,Left,True
858,100,snake,apple,deg15,deg-15,Right,False
670,100,apple,snake,deg-15,deg15,Left,False
1226,0,banana,snake,deg-15,deg15,Left,True
1007,50,apple,snake,deg15,deg-15,Left,True
1196,25,snake,banana,deg15,deg-15,Right,False
905,25,snake,apple,deg-15,deg15,Left,False
846,25,snake,banana,deg-15,deg15,Left,False
1383,50,snake,apple,deg-15,deg15,Left,False
1019,50,banana,snake,deg-15,deg15,Left,False
1137,50,apple,snake,deg15,deg-15,Right,False
1034,25,snake,apple,deg15,deg-15,Left,True
1053,50,spider,apple,deg15,deg-15,Right,False
1431,25,spider,apple,deg15,deg-15,Left,True
933,25,apple,snake,deg15,deg-15,Left,True
964,25,apple,snake,deg-15,deg15,Right,True
1092,50,apple,snake,deg15,deg-15,Left,True
906,100,spider,banana,deg15,deg-15,Right,False
992,50,snake,banana,deg15,deg-15,Left,True
1254,0,spider,banana,deg-15,deg15,Left,True
1165,50,banana,snake,deg-15,deg15,Right,True
1923,25,spider,apple,deg15,deg-15,Left,True
1123,0,apple,snake,deg-15,deg15,Left,True
1368,100,spider,banana,deg-15,deg15,Right,True
687,25,spider,apple,deg-15,deg15,Left,False
861,100,apple,spider,deg-15,deg15,Left,False
976,25,apple,spider,deg-15,deg15,Right,True
1269,50,snake,apple,deg15,deg-15,Left,True
1095,50,snake,banana,deg-15,deg15,Right,True
1095,50,snake,banana,deg15,deg-15,Right,False
1416,0,apple,snake,deg-15,deg15,Left,True
1210,100,apple,spider,deg-15,deg15,Left,False
1078,100,spider,banana,deg-15,deg15,Left,False
1371,100,snake,banana,deg15,deg-15,Left,True
1325,100,banana,spider,deg15,deg-15,Right,False
2320,100,snake,banana,deg-15,deg15,Left,False
1051,100,banana,snake,deg15,deg-15,Right,False
715,0,apple,spider,deg-15,deg15,Left,True
1396,25,banana,spider,deg15,deg-15,Right,False
1545,50,banana,spider,deg-15,deg15,Right,True
2128,100,apple,snake,deg15,deg-15,Left,True
1471,0,banana,spider,deg-15,deg15,Left,True
1078,100,apple,spider,deg15,deg-15,Right,False
1544,25,apple,spider,deg15,deg-15,Right,False
770,50,banana,spider,deg-15,deg15,Left,False
756,50,snake,apple,deg-15,deg15,Left,False
1004,0,banana,spider,deg15,deg-15,Left,True
1079,25,apple,spider,deg15,deg-15,Left,True
671,100,banana,snake,deg-15,deg15,Left,False
874,25,banana,spider,deg-15,deg15,Left,False
614,50,snake,apple,deg-15,deg15,Left,False
833,25,apple,snake,deg-15,deg15,Right,True
1282,100,apple,spider,deg-15,deg15,Left,False
1476,0,apple,snake,deg15,deg-15,Right,True
772,50,spider,banana,deg-15,deg15,Left,False
1338,50,spider,apple,deg-15,deg15,Left,False
832,25,banana,snake,deg-15,deg15,Right,True
787,0,banana,snake,deg15,deg-15,Left,True
742,100,spider,banana,deg-15,deg15,Left,False
1343,50,apple,snake,deg15,deg-15,Right,False
1283,25,apple,spider,deg15,deg-15,Left,True
1182,50,apple,spider,deg-15,deg15,Left,False
890,25,banana,spider,deg15,deg-15,Left,True
788,25,apple,spider,deg15,deg-15,Left,True
670,25,banana,snake,deg15,deg-15,Left,True
845,50,spider,banana,deg-15,deg15,Right,True
1443,25,snake,apple,deg-15,deg15,Right,True
1268,25,spider,banana,deg15,deg-15,Right,False
1369,100,spider,banana,deg-15,deg15,Left,False
1194,50,banana,spider,deg-15,deg15,Right,True
919,50,spider,banana,deg-15,deg15,Left,False
977,100,spider,banana,deg-15,deg15,Left,False
833,50,spider,banana,deg15,deg-15,Right,False
1093,0,snake,banana,deg15,deg-15,Right,True
714,100,apple,spider,deg-15,deg15,Left,False
554,50,spider,apple,deg15,deg-15,Left,True
1195,50,snake,apple,deg-15,deg15,Left,False
903,100,apple,snake,deg15,deg-15,Left,True
730,100,banana,snake,deg15,deg-15,Left,True
