DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
867,50,apple,spider,deg15,deg-15,Left,True
548,0,banana,spider,deg15,deg-15,Left,True
576,25,banana,spider,deg-15,deg15,Right,True
1666,25,banana,snake,deg-15,deg15,Left,False
800,50,apple,spider,deg-15,deg15,Right,True
695,25,spider,apple,deg15,deg-15,Right,False
928,50,snake,apple,deg-15,deg15,Left,False
4241,50,spider,apple,deg15,deg-15,Left,True
558,50,spider,apple,deg15,deg-15,Right,False
1274,100,apple,snake,deg15,deg-15,Right,False
742,50,snake,apple,deg-15,deg15,Left,False
791,50,snake,banana,deg15,deg-15,Right,False
652,25,spider,banana,deg15,deg-15,Right,False
697,50,banana,spider,deg-15,deg15,Right,True
1244,50,apple,spider,deg-15,deg15,Left,False
1563,100,banana,snake,deg15,deg-15,Right,False
941,50,apple,snake,deg15,deg-15,Left,True
2306,0,spider,apple,deg15,deg-15,Right,True
1015,25,snake,apple,deg15,deg-15,Right,False
924,50,snake,apple,deg-15,deg15,Left,False
896,100,apple,spider,deg-15,deg15,Left,False
1455,25,banana,spider,deg-15,deg15,Right,True
832,100,snake,apple,deg-15,deg15,Left,False
515,25,snake,banana,deg-15,deg15,Left,False
696,100,spider,banana,deg15,deg-15,Right,False
1184,25,banana,snake,deg15,deg-15,Left,True
833,100,banana,spider,deg15,deg-15,Right,False
836,50,spider,apple,deg15,deg-15,Right,False
636,100,spider,apple,deg-15,deg15,Left,False
560,50,apple,spider,deg-15,deg15,Right,True
592,25,apple,spider,deg-15,deg15,Right,True
1167,100,spider,banana,deg-15,deg15,Left,False
1048,25,apple,snake,deg15,deg-15,Left,True
851,50,banana,snake,deg15,deg-15,Left,True
983,100,spider,banana,deg-15,deg15,Left,False
953,100,snake,apple,deg15,deg-15,Right,False
952,100,banana,snake,deg-15,deg15,Left,False
1788,25,spider,apple,deg-15,deg15,Right,True
1483,25,banana,spider,deg15,deg-15,Left,True
623,25,snake,apple,deg15,deg-15,Right,False
1468,0,banana,spider,deg15,deg-15,Left,True
817,25,snake,banana,deg-15,deg15,Left,False
1684,50,banana,snake,deg-15,deg15,Left,False
1016,0,snake,apple,deg-15,deg15,Left,True
697,50,spider,apple,deg-15,deg15,Right,True
784,25,banana,snake,deg-15,deg15,Left,False
803,25,apple,snake,deg15,deg-15,Left,True
895,25,apple,spider,deg15,deg-15,Left,True
561,100,apple,spider,deg15,deg-15,Left,True
1319,100,snake,banana,deg-15,deg15,Left,False
742,50,apple,snake,deg15,deg-15,Left,True
926,25,snake,apple,deg15,deg-15,Right,False
1000,100,banana,spider,deg-15,deg15,Left,False
1546,25,apple,spider,deg-15,deg15,Right,True
2561,25,spider,apple,deg15,deg-15,Right,False
604,0,spider,banana,deg-15,deg15,Left,True
3105,0,banana,spider,deg-15,deg15,Left,True
1363,100,spider,banana,deg15,deg-15,Right,False
1247,100,banana,snake,deg-15,deg15,Left,False
1653,25,spider,banana,deg15,deg-15,Right,False
851,0,snake,banana,deg-15,deg15,Left,True
1017,50,spider,apple,deg15,deg-15,Right,False
1609,50,snake,banana,deg-15,deg15,Left,False
1500,0,apple,spider,deg15,deg-15,Left,True
1377,25,spider,banana,deg-15,deg15,Left,False
1092,50,snake,banana,deg15,deg-15,Right,False
1016,100,banana,spider,deg-15,deg15,Right,True
941,100,spider,banana,deg-15,deg15,Left,False
926,25,apple,snake,deg15,deg-15,Left,True
1109,0,banana,snake,deg-15,deg15,Left,True
2196,25,snake,banana,deg-15,deg15,Left,False
1566,0,spider,banana,deg15,deg-15,Right,True
2367,0,spider,banana,deg-15,deg15,Left,True
2821,100,apple,snake,deg-15,deg15,Left,False
1091,25,apple,spider,deg-15,deg15,Right,True
2257,50,banana,spider,deg15,deg-15,Right,False
1000,100,banana,snake,deg-15,deg15,Left,False
1291,50,banana,spider,deg-15,deg15,Left,False
986,25,snake,banana,deg-15,deg15,Left,False
820,25,apple,spider,deg-15,deg15,Right,True
1333,50,spider,banana,deg-15,deg15,Left,False
684,25,snake,apple,deg15,deg-15,Right,False
774,50,snake,banana,deg15,deg-15,Right,False
