DecisionTimeMs,DelayMs,StimType1st,StimType2nd,StimPos1st,StimPos2nd,KeyPressed,Correct
846,0,banana,spider,deg-15,deg15,G,True
653,25,apple,spider,deg15,deg-15,H,True
690,0,apple,snake,deg15,deg-15,H,True
654,0,snake,apple,deg-15,deg15,H,True
767,0,banana,spider,deg15,deg-15,H,True
652,0,spider,apple,deg15,deg-15,G,True
809,0,spider,apple,deg15,deg-15,G,True
768,25,spider,apple,deg-15,deg15,H,False
574,100,apple,snake,deg15,deg-15,H,True
655,100,banana,snake,deg-15,deg15,H,True
998,0,banana,spider,deg-15,deg15,H,True
654,100,snake,banana,deg-15,deg15,G,True
963,0,apple,snake,deg-15,deg15,G,True
1308,0,spider,apple,deg15,deg-15,G,True
691,100,apple,snake,deg-15,deg15,H,True
886,50,spider,banana,deg-15,deg15,G,True
654,0,apple,spider,deg-15,deg15,H,True
613,100,banana,spider,deg-15,deg15,H,True
1001,25,snake,banana,deg15,deg-15,H,False
1114,100,banana,snake,deg15,deg-15,H,True
651,100,spider,banana,deg15,deg-15,G,True
655,50,snake,apple,deg15,deg-15,G,True
768,0,banana,spider,deg-15,deg15,H,True
692,100,spider,banana,deg15,deg-15,G,True
576,0,snake,banana,deg15,deg-15,G,True
809,50,spider,apple,deg15,deg-15,H,False
1613,25,banana,snake,deg15,deg-15,H,True
1000,0,spider,banana,deg15,deg-15,H,True
656,100,apple,snake,deg-15,deg15,H,True
804,50,banana,snake,deg-15,deg15,H,True
1002,25,spider,apple,deg-15,deg15,H,False
655,100,banana,spider,deg-15,deg15,H,True
774,0,snake,banana,deg15,deg-15,G,True
770,100,snake,apple,deg15,deg-15,G,True
808,50,snake,apple,deg-15,deg15,H,False
726,100,spider,apple,deg15,deg-15,G,True
651,25,apple,spider,deg-15,deg15,G,False
689,100,apple,spider,deg15,deg-15,H,True
881,50,apple,spider,deg-15,deg15,H,True
844,100,banana,snake,deg15,deg-15,H,True
1308,50,apple,spider,deg15,deg-15,H,True
654,50,banana,spider,deg15,deg-15,H,True
650,100,apple,spider,deg15,deg-15,H,True
845,25,banana,snake,deg-15,deg15,G,False
1111,50,spider,apple,deg-15,deg15,G,True
578,100,spider,banana,deg-15,deg15,G,True
769,100,snake,banana,deg-15,deg15,G,True
735,0,snake,apple,deg15,deg-15,G,True
577,50,snake,apple,deg-15,deg15,G,True
537,0,snake,apple,deg-15,deg15,G,True
1157,0,snake,banana,deg-15,deg15,G,True
923,50,spider,banana,deg15,deg-15,G,True
733,50,snake,apple,deg15,deg-15,G,True
